,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
19,20,129603,99083,66.8,81.1,3.9,3.2,618930,2017,Secondary
20,21,470576,363674,53.9,65.2,9.4,8.2,619540,2017,Secondary
21,22,100287,75894,61.5,74.9,5.5,5.1,621600,2017,Secondary
22,23,131635,100062,50.3,62.6,11.9,10.2,624660,2017,Secondary
23,24,216048,161653,55.8,68.8,7.9,7.3,625150,2017,Secondary
24,25,95137,74359,68.2,80.7,3.1,3.2,626310,2017,Secondary
25,26,72890,44622,52.2,71.1,3.9,3.1,626880,2017,Secondary
26,27,263216,202639,61.4,74.0,6.1,5.5,629270,2017,Secondary
27,28,62266,45180,61.2,77.0,4.5,4.3,630250,2017,Secondary
28,29,79894,53397,52.7,70.7,4.9,3.8,630750,2017,Secondary
29,30,143587,105059,60.3,75.5,4.2,3.4,633630,2017,Secondary
30,31,128304,99927,60.6,72.5,4.6,4.6,633980,2017,Secondary
31,32,138888,101765,62.6,77.9,3.8,3.4,634380,2017,Secondary
32,33,196584,145990,65.2,80.3,4.1,4.0,634980,2017,Secondary
33,34,62219,42630,59.0,74.7,3.0,2.6,635110,2017,Secondary
34,35,87243,61931,57.6,69.5,8.7,8.3,635600,2017,Secondary
35,36,113804,88217,62.1,73.6,5.1,4.8,635670,2017,Secondary
36,37,173354,124465,60.7,74.6,4.2,4.1,635830,2017,Secondary
37,38,211668,163709,67.5,79.3,3.4,3.2,636390,2017,Secondary
38,39,83709,58414,54.2,68.2,3.5,3.0,636600,2017,Secondary
39,40,117728,90104,47.1,58.7,13.2,11.7,636972,2017,Secondary
40,41,390043,301252,54.6,67.1,9.0,7.5,638640,2017,Secondary
41,42,93797,62959,59.0,74.3,5.0,5.4,638790,2017,Secondary
42,43,57010,45072,57.6,69.7,5.9,5.0,639930,2017,Secondary
43,44,177140,133678,58.6,72.9,3.5,3.2,642480,2017,Secondary
44,45,208964,163856,62.6,73.5,5.0,4.6,642510,2017,Secondary
