,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
25,26,9500000US0642450,"Whittier City Elementary School District, California",51834,26789,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38966,9250,36923,59.2,54.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.5,40.1,74.9,4.4,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.4,2.4,3.5,6,,Whittier City Elementary School District,642450,2019,42450.0,
26,27,9500000US0616680,"Hawthorne Elementary School District, California",-999999999,29705,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32898,-999999999,-999999999,-999999999.0,69.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.4,-999999999.0,-999999999.0,-999999999.0,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,-999999999.0,-999999999.0,6,,Hawthorne Elementary School District,616680,2019,16680.0,
27,28,9500000US0624600,"Merced City Elementary School District, California",68335,28818,-999999999,-999999999,-999999999,-999999999,26819,-999999999,37377,19827,53401,53.7,54.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.6,-999999999.0,53.0,57.6,64.7,11.4,7.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,13.8,-999999999.0,13.1,6.9,10.3,6,,Merced City Elementary School District,624600,2019,24600.0,
28,29,9500000US0632130,"Redwood City Elementary School District, California",80657,53160,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,24906,42857,62456,68.0,68.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.5,67.3,81.3,2.6,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.1,3.9,2.7,6,,Redwood City Elementary School District,632130,2019,32130.0,
29,30,9500000US0625130,"Modesto City Elementary School District, California",87944,73516,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46993,32640,67681,53.6,53.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.9,52.4,65.1,10.3,10.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.8,7.1,9.8,6,,Modesto City Elementary School District,625130,2019,25130.0,
30,31,9500000US0604800,"Berryessa Union Elementary School District, California",72819,14585,-999999999,-999999999,47906,-999999999,-999999999,-999999999,13033,8772,57164,67.3,58.2,-999999999.0,-999999999.0,70.9,-999999999.0,-999999999.0,-999999999.0,64.8,56.2,80.0,5.7,3.5,-999999999.0,-999999999.0,5.0,-999999999.0,-999999999.0,-999999999.0,10.1,3.0,5.5,6,,Berryessa Union Elementary School District,604800,2019,4800.0,
31,32,9500000US0605580,"Santa Maria-Bonita Elementary School District, California",72870,61995,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57436,11331,55300,62.9,62.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.4,41.6,74.8,5.2,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,5.2,5.0,6,,Santa Maria-Bonita Elementary School District,605580,2019,5580.0,
32,33,9500000US0611850,"East Whittier City Elementary School District, California",57575,31019,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36616,14144,44605,61.6,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.7,50.0,75.2,3.1,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.1,4.9,3.1,6,,East Whittier City Elementary School District,611850,2019,11850.0,
33,34,9500000US0620250,"La Mesa-Spring Valley School District, California",117638,76359,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37855,54082,88220,60.6,61.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.6,60.9,74.6,7.3,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,6.0,7.0,6,,La Mesa-Spring Valley School District,620250,2019,20250.0,
34,35,9500000US0635590,"Santa Cruz City Elementary School District, California",58894,43029,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35564,42991,60.6,63.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,72.3,5.5,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.7,4.1,6,,Santa Cruz City Elementary School District,635590,2019,35590.0,
35,36,9500000US0635810,"Santa Rosa Elementary School District, California",60349,38913,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32404,47823,66.7,64.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.9,78.1,5.1,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,4.4,6,,Santa Rosa Elementary School District,635810,2019,35810.0,
36,37,9500000US0612880,"Escondido Union Elementary School District, California",132709,104681,-999999999,-999999999,9099,-999999999,-999999999,-999999999,59345,57454,97900,59.0,56.7,-999999999.0,-999999999.0,64.7,-999999999.0,-999999999.0,-999999999.0,66.0,50.9,72.3,3.6,2.8,-999999999.0,-999999999.0,8.7,-999999999.0,-999999999.0,-999999999.0,2.3,3.6,3.7,6,,Escondido Union Elementary School District,612880,2019,12880.0,
37,38,9500000US0612750,"Encinitas Union Elementary School District, California",58080,50914,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46810,39768,60.4,60.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.9,78.9,4.0,3.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,4.1,6,,Encinitas Union Elementary School District,612750,2019,12750.0,
38,39,9500000US0612960,"Etiwanda Elementary School District, California",72988,36119,-999999999,-999999999,13032,-999999999,-999999999,-999999999,-999999999,21621,57546,66.0,64.0,-999999999.0,-999999999.0,68.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.7,74.5,2.7,3.6,-999999999.0,-999999999.0,1.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.5,2.8,6,,Etiwanda Elementary School District,612960,2019,12960.0,
39,40,9500000US0613140,"Evergreen Elementary School District, California",76122,21150,-999999999,-999999999,47743,-999999999,-999999999,-999999999,-999999999,10502,55694,62.0,56.1,-999999999.0,-999999999.0,63.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,46.4,78.0,3.8,3.5,-999999999.0,-999999999.0,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.3,3.9,6,,Evergreen Elementary School District,613140,2019,13140.0,
40,41,9500000US0623430,"Magnolia Elementary School District, California",50449,27545,-999999999,-999999999,14921,-999999999,-999999999,-999999999,-999999999,9763,40263,62.1,62.5,-999999999.0,-999999999.0,59.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.0,72.4,4.7,6.0,-999999999.0,-999999999.0,2.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,13.2,4.6,6,,Magnolia Elementary School District,623430,2019,23430.0,
41,42,9500000US0614370,"Franklin-McKinley Elementary School District, California",70381,25637,-999999999,-999999999,32284,-999999999,-999999999,-999999999,26181,-999999999,53006,63.6,63.7,-999999999.0,-999999999.0,60.8,-999999999.0,-999999999.0,-999999999.0,67.6,-999999999.0,77.7,4.7,3.8,-999999999.0,-999999999.0,4.9,-999999999.0,-999999999.0,-999999999.0,3.6,-999999999.0,4.5,6,,Franklin-McKinley Elementary School District,614370,2019,14370.0,
42,43,9500000US0614730,"Fullerton Elementary School District, California",95960,61388,-999999999,-999999999,24202,-999999999,-999999999,-999999999,32411,35709,72728,63.0,64.2,-999999999.0,-999999999.0,57.1,-999999999.0,-999999999.0,-999999999.0,69.4,60.8,75.9,4.9,3.3,-999999999.0,-999999999.0,8.9,-999999999.0,-999999999.0,-999999999.0,2.6,4.9,4.7,6,,Fullerton Elementary School District,614730,2019,14730.0,
43,44,9500000US0615510,"Goleta Union Elementary School District, California",73097,46940,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17546,39356,48325,53.4,53.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.2,52.9,68.0,7.6,7.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,7.0,5.0,6,,Goleta Union Elementary School District,615510,2019,15510.0,
44,45,9500000US0624540,"Menifee Union School District, California",76415,45241,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,24952,36530,53426,53.4,50.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.6,47.7,71.6,7.8,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,7.1,5.6,6,,Menifee Union School District,624540,2019,24540.0,
45,46,9500000US0629220,"Oxnard Elementary School District, California",99469,80179,-999999999,-999999999,6688,-999999999,-999999999,-999999999,69353,18920,74660,61.4,62.2,-999999999.0,-999999999.0,55.8,-999999999.0,-999999999.0,-999999999.0,64.6,52.1,74.6,5.0,4.1,-999999999.0,-999999999.0,11.0,-999999999.0,-999999999.0,-999999999.0,3.8,5.3,4.7,6,,Oxnard Elementary School District,629220,2019,29220.0,
46,47,9500000US0629580,"Palmdale Elementary School District, California",96878,57387,14372,-999999999,-999999999,-999999999,14333,-999999999,61780,14843,78286,56.7,56.3,52.3,-999999999.0,-999999999.0,-999999999.0,68.9,-999999999.0,60.8,46.5,66.3,8.3,5.7,11.1,-999999999.0,-999999999.0,-999999999.0,5.6,-999999999.0,6.9,9.3,8.3,6,,Palmdale Elementary School District,629580,2019,29580.0,
47,48,9500000US0606810,"Cajon Valley Union Elementary School District, California",140589,112274,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,30404,91092,104676,58.8,57.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.6,53.6,72.9,6.4,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,7.7,5.3,6,,Cajon Valley Union Elementary School District,606810,2019,6810.0,
48,49,9500000US0607200,"Campbell Union Elementary School District, California",76846,44049,-999999999,-999999999,18851,-999999999,-999999999,-999999999,-999999999,34982,61827,67.9,69.0,-999999999.0,-999999999.0,69.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.1,80.5,2.5,2.0,-999999999.0,-999999999.0,2.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.6,2.4,6,,Campbell Union Elementary School District,607200,2019,7200.0,
49,50,9500000US0610290,"Cupertino Union Elementary School District, California",111391,39105,-999999999,-999999999,64077,-999999999,-999999999,-999999999,-999999999,35781,81455,60.2,52.7,-999999999.0,-999999999.0,65.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.3,76.6,2.2,2.0,-999999999.0,-999999999.0,2.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.3,2.3,6,,Cupertino Union Elementary School District,610290,2019,10290.0,
50,51,9500000US0605910,"Brentwood Union Elementary School District, California",-999999999,31805,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25862,-999999999,-999999999.0,55.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.7,-999999999.0,-999999999.0,2.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.5,-999999999.0,6,,Brentwood Union Elementary School District,605910,2019,5910.0,
51,52,9500000US0633600,"Roseville City Elementary School District, California",82014,64432,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55892,59313,63.8,62.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.0,81.5,3.1,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.0,2.7,6,,Roseville City Elementary School District,633600,2019,33600.0,
0,1,9600000US0619540,"Kern High School District, California",468218,327395,23663,-999999999,26162,-999999999,71008,-999999999,247295,159966,359791,55.0,54.8,49.6,-999999999.0,55.2,-999999999.0,59.7,-999999999.0,56.9,53.5,66.9,7.4,6.8,10.5,-999999999.0,2.9,-999999999.0,9.2,-999999999.0,8.4,5.4,6.7,6,,Kern High School District,619540,2019,,19540.0
1,2,9600000US0606034,"Perris Union High School District (9-12), California",109418,65306,10888,-999999999,-999999999,-999999999,22125,-999999999,46546,44372,78462,54.8,51.9,56.6,-999999999.0,-999999999.0,-999999999.0,63.0,-999999999.0,62.4,46.7,72.0,7.4,6.5,18.1,-999999999.0,-999999999.0,-999999999.0,4.2,-999999999.0,4.2,8.3,5.4,6,,Perris Union High School District (9-12),606034,2019,,6034.0
2,3,9600000US0602820,"Antelope Valley Union Joint High School District, California",292413,188813,49090,-999999999,13442,-999999999,26941,8983,140820,83621,223546,52.0,51.4,50.2,-999999999.0,52.8,-999999999.0,60.5,52.0,55.2,48.3,63.7,6.4,5.3,5.6,-999999999.0,7.1,-999999999.0,6.8,15.0,5.6,7.4,6.2,6,,Antelope Valley Union Joint High School District,602820,2019,,2820.0
3,4,9600000US0606019,"Santa Barbara Unified School District (7-12), California",93354,64296,-999999999,-999999999,12788,-999999999,-999999999,-999999999,20288,54357,60383,53.4,54.2,-999999999.0,-999999999.0,40.7,-999999999.0,-999999999.0,-999999999.0,59.1,53.3,68.7,7.4,6.0,-999999999.0,-999999999.0,14.9,-999999999.0,-999999999.0,-999999999.0,7.4,5.7,5.4,6,,Santa Barbara Unified School District (7-12),606019,2019,,6019.0
4,5,9600000US0601650,"Acalanes Union High School District, California",95161,76179,-999999999,-999999999,11073,-999999999,-999999999,-999999999,-999999999,72188,60424,56.4,54.2,-999999999.0,-999999999.0,63.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.2,76.3,4.2,3.6,-999999999.0,-999999999.0,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,3.9,6,,Acalanes Union High School District,601650,2019,,1650.0
5,6,9600000US0602630,"Anaheim Union High School District, California",324683,191010,11262,-999999999,81583,-999999999,28781,-999999999,151282,73697,255737,64.9,65.0,67.0,-999999999.0,61.4,-999999999.0,71.6,-999999999.0,68.4,61.0,76.6,4.0,4.6,7.2,-999999999.0,3.1,-999999999.0,2.3,-999999999.0,3.6,5.5,3.9,6,,Anaheim Union High School District,602630,2019,,2630.0
6,7,9600000US0607230,"Campbell Union High School District, California",182855,112306,-999999999,-999999999,46918,-999999999,-999999999,7962,29752,91489,144318,66.5,66.2,-999999999.0,-999999999.0,66.8,-999999999.0,-999999999.0,62.7,76.5,63.4,78.8,3.0,2.7,-999999999.0,-999999999.0,3.0,-999999999.0,-999999999.0,3.1,4.8,2.1,3.1,6,,Campbell Union High School District,607230,2019,,7230.0
7,8,9600000US0607920,"Centinela Valley Union High School District, California",114726,63839,-999999999,-999999999,-999999999,-999999999,19271,-999999999,75526,11128,93421,68.0,68.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.3,-999999999.0,71.3,60.7,78.5,3.9,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,-999999999.0,4.0,0.9,3.3,6,,Centinela Valley Union High School District,607920,2019,,7920.0
8,9,9600000US0608160,"Chaffey Joint Union High School District, California",338709,200604,24558,-999999999,36882,-999999999,54907,-999999999,180008,87754,266457,64.3,63.8,59.7,-999999999.0,64.8,-999999999.0,64.7,-999999999.0,67.1,59.4,75.7,4.2,4.2,4.8,-999999999.0,3.2,-999999999.0,3.6,-999999999.0,3.8,4.2,4.0,6,,Chaffey Joint Union High School District,608160,2019,,8160.0
9,10,9600000US0699011,"Santa Cruz City High School District (6-12), California",58894,43029,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35564,42991,60.6,63.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,72.3,5.5,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.7,4.1,6,,Santa Cruz City High School District (6-12),699011,2019,,99011.0
10,11,9600000US0630250,"Petaluma Joint Union High School District, California",64227,51079,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45645,43518,61.7,60.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.4,79.6,3.3,1.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.9,2.3,6,,Petaluma Joint Union High School District,630250,2019,,30250.0
11,12,9600000US0630750,"Placer Union High School District, California",79908,72467,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64372,54681,59.1,58.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.8,75.7,1.8,2.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.1,1.6,6,,Placer Union High School District,630750,2019,,30750.0
12,13,9600000US0633630,"Roseville Joint Union High School District, California",146915,116210,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18291,101571,106923,62.5,61.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.0,62.7,79.1,3.2,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.0,3.3,2.7,6,,Roseville Joint Union High School District,633630,2019,,33630.0
13,14,9600000US0633980,"Salinas Union High School District, California",129762,45639,-999999999,-999999999,7771,-999999999,70030,-999999999,96058,22835,101943,61.2,61.3,-999999999.0,-999999999.0,54.4,-999999999.0,61.8,-999999999.0,62.6,57.4,72.3,4.0,6.7,-999999999.0,-999999999.0,4.0,-999999999.0,2.4,-999999999.0,3.9,4.8,4.0,6,,Salinas Union High School District,633980,2019,,33980.0
14,15,9600000US0634380,"San Dieguito Union High School District, California",139036,111149,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,101868,97916,62.0,61.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.8,77.8,3.2,3.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,2.9,6,,San Dieguito Union High School District,634380,2019,,34380.0
15,16,9600000US0634980,"San Mateo Union High School District, California",202771,100221,-999999999,-999999999,67810,-999999999,-999999999,-999999999,38031,84271,149177,67.2,61.6,-999999999.0,-999999999.0,70.8,-999999999.0,-999999999.0,-999999999.0,69.6,61.3,82.0,2.9,3.3,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,2.3,3.3,3.0,6,,San Mateo Union High School District,634980,2019,,34980.0
16,17,9600000US0635110,"San Rafael City High School District, California",62898,45410,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38195,43316,61.7,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.5,79.0,5.2,7.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,5.1,6,,San Rafael City High School District,635110,2019,,35110.0
17,18,9600000US0635670,"Santa Maria Joint Union High School District, California",110574,92890,-999999999,-999999999,4856,-999999999,-999999999,-999999999,68318,33559,81579,60.8,60.5,-999999999.0,-999999999.0,64.0,-999999999.0,-999999999.0,-999999999.0,66.7,48.2,74.5,4.6,4.8,-999999999.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,4.8,4.8,4.2,6,,Santa Maria Joint Union High School District,635670,2019,,35670.0
18,19,9600000US0635830,"Santa Rosa High School District, California",168781,112182,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52732,97038,123579,64.6,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,74.6,59.4,79.2,2.7,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.5,2.4,2.1,6,,Santa Rosa High School District,635830,2019,,35830.0
19,20,9600000US0636390,"Sequoia Union High School District, California",205952,130925,-999999999,-999999999,31597,-999999999,-999999999,-999999999,50533,109709,157158,67.1,65.8,-999999999.0,-999999999.0,70.6,-999999999.0,-999999999.0,-999999999.0,69.0,65.1,80.6,2.8,2.7,-999999999.0,-999999999.0,2.5,-999999999.0,-999999999.0,-999999999.0,2.4,3.0,2.7,6,,Sequoia Union High School District,636390,2019,,36390.0
20,21,9600000US0636600,"Shasta Union High School District, California",82127,70072,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65299,56769,55.0,54.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.1,72.0,4.5,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,4.2,6,,Shasta Union High School District,636600,2019,,36600.0
21,22,9600000US0636972,"Victor Valley Union High School District, California",120240,77087,18036,-999999999,-999999999,-999999999,-999999999,-999999999,66593,28070,96295,47.0,46.6,37.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.4,38.7,56.6,12.5,12.9,24.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.7,15.5,10.9,6,,Victor Valley Union High School District,636972,2019,,36972.0
22,23,9600000US0638640,"Sweetwater Union High School District, California",397443,265256,21183,-999999999,62919,-999999999,29314,14277,239730,67805,303270,55.8,56.8,43.1,-999999999.0,54.9,-999999999.0,58.0,59.3,59.1,49.1,67.5,9.6,10.4,11.9,-999999999.0,5.4,-999999999.0,8.9,11.1,11.0,6.9,8.6,6,,Sweetwater Union High School District,638640,2019,,38640.0
23,24,9600000US0638790,"Tamalpais Union High School District, California",95653,81960,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,78050,64005,62.0,61.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,80.0,3.4,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,3.3,6,,Tamalpais Union High School District,638790,2019,,38790.0
24,25,9600000US0639930,"Tulare Joint Union High School District, California",55901,47237,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35170,18184,42686,57.7,56.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.1,54.7,70.7,6.1,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,5.9,5.4,6,,Tulare Joint Union High School District,639930,2019,,39930.0
25,26,9600000US0642480,"Whittier Union High School District, California",171938,83386,-999999999,-999999999,11466,-999999999,64537,-999999999,123707,29384,129309,60.3,58.0,-999999999.0,-999999999.0,60.9,-999999999.0,63.7,-999999999.0,64.3,46.4,74.2,3.5,3.5,-999999999.0,-999999999.0,7.9,-999999999.0,2.3,-999999999.0,3.0,3.5,3.0,6,,Whittier Union High School District,642480,2019,,42480.0
26,27,9600000US0642510,"William S. Hart Union High School District, California",208779,146022,12850,-999999999,23596,-999999999,15850,-999999999,64929,100245,159685,61.2,60.6,61.3,-999999999.0,61.3,-999999999.0,69.1,-999999999.0,62.7,60.2,73.5,3.6,3.4,5.3,-999999999.0,3.8,-999999999.0,4.2,-999999999.0,2.3,4.0,3.4,6,,William S. Hart Union High School District,642510,2019,,42510.0
