,Unnamed: 0,Unnamed: 0.1,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years
127,11,12,65451.0,49049.0,51.2,65.4,5.6,5.5,612090,2015,Elementary,,,,,,
128,12,13,60436.0,42460.0,58.6,75.3,4.6,4.2,612750,2015,Elementary,,,,,,
129,13,14,133637.0,103307.0,60.1,72.4,7.8,7.3,612880,2015,Elementary,,,,,,
130,14,15,65697.0,54492.0,62.2,71.9,6.6,5.8,612960,2015,Elementary,,,,,,
131,15,16,85921.0,63444.0,59.3,75.0,5.6,5.0,613140,2015,Elementary,,,,,,
132,16,17,76489.0,61393.0,62.9,74.0,7.9,7.1,614370,2015,Elementary,,,,,,
133,17,18,98656.0,73662.0,58.2,72.0,8.2,6.8,614730,2015,Elementary,,,,,,
134,18,19,71929.0,49726.0,53.8,65.1,6.1,4.9,615510,2015,Elementary,,,,,,
135,19,20,59646.0,48316.0,61.2,72.6,8.0,7.4,616680,2015,Elementary,,,,,,
136,20,21,73183.0,54652.0,64.2,76.9,5.8,5.3,618030,2015,Elementary,,,,,,
137,21,22,82337.0,66222.0,64.3,74.7,7.8,8.0,618870,2015,Elementary,,,,,,
138,22,23,114460.0,87755.0,57.8,70.8,9.2,8.6,620250,2015,Elementary,,,,,,
139,23,24,83943.0,66688.0,48.0,56.8,6.6,6.3,620880,2015,Elementary,,,,,,
140,24,25,50077.0,39482.0,62.9,76.1,3.4,3.2,623430,2015,Elementary,,,,,,
141,25,26,63752.0,45689.0,50.9,66.7,8.3,8.4,624540,2015,Elementary,,,,,,
142,26,27,65989.0,49845.0,43.1,54.3,16.9,13.5,624600,2015,Elementary,,,,,,
143,27,28,88555.0,68180.0,47.4,57.8,17.4,16.4,625130,2015,Elementary,,,,,,
144,28,29,56070.0,47644.0,73.9,82.3,3.4,3.2,626280,2015,Elementary,,,,,,
145,29,30,54760.0,40767.0,59.3,71.9,6.5,5.7,627180,2015,Elementary,,,,,,
146,30,31,84558.0,67959.0,63.0,73.5,5.8,6.0,627810,2015,Elementary,,,,,,
147,31,32,78757.0,58620.0,62.5,77.2,4.4,4.0,628140,2015,Elementary,,,,,,
148,32,33,129456.0,104639.0,61.1,71.7,6.8,6.3,628470,2015,Elementary,,,,,,
149,33,34,92169.0,71365.0,58.7,70.6,7.9,7.8,629220,2015,Elementary,,,,,,
150,34,35,97970.0,77561.0,50.0,60.7,11.8,10.4,629580,2015,Elementary,,,,,,
151,35,36,63502.0,43376.0,54.6,71.5,5.7,5.1,630990,2015,Elementary,,,,,,
152,36,37,78634.0,61606.0,64.3,76.1,4.1,4.2,632130,2015,Elementary,,,,,,
153,37,38,73836.0,55690.0,58.5,73.2,5.9,5.9,633600,2015,Elementary,,,,,,
154,38,39,61449.0,47089.0,56.4,69.0,8.2,7.1,633930,2015,Elementary,,,,,,
155,39,40,110570.0,84836.0,66.6,80.4,3.9,3.8,634920,2015,Elementary,,,,,,
156,40,41,59554.0,42245.0,52.6,65.0,7.0,4.9,635590,2015,Elementary,,,,,,
157,41,42,64062.0,49729.0,63.3,74.2,7.5,6.2,635810,2015,Elementary,,,,,,
158,42,43,85220.0,67333.0,66.9,79.3,5.2,4.5,635970,2015,Elementary,,,,,,
159,43,44,68743.0,53468.0,53.8,63.7,11.3,11.1,637380,2015,Elementary,,,,,,
160,44,45,51930.0,41064.0,66.6,79.9,7.0,6.9,638220,2015,Elementary,,,,,,
161,45,46,59551.0,46517.0,51.0,61.0,8.4,7.2,642120,2015,Elementary,,,,,,
162,46,47,73639.0,60969.0,69.3,79.7,4.9,4.9,638460,2015,Elementary,,,,,,
163,47,48,57252.0,43733.0,58.4,69.7,7.8,7.7,638670,2015,Elementary,,,,,,
164,48,49,73021.0,54985.0,44.4,55.4,19.6,17.0,641040,2015,Elementary,,,,,,
165,49,50,68232.0,50347.0,58.4,73.9,5.6,5.3,642150,2015,Elementary,,,,,,
166,50,51,56985.0,43769.0,60.6,74.4,5.1,4.8,642450,2015,Elementary,,,,,,
167,0,1,94601.0,60947.0,55.6,74.3,5.7,5.9,601650,2015,Secondary,,,,,,
168,1,2,318548.0,249796.0,62.2,75.1,6.1,5.7,602630,2015,Secondary,,,,,,
169,2,3,282958.0,221396.0,48.7,58.9,9.4,8.5,602820,2015,Secondary,,,,,,
170,3,4,93495.0,62669.0,54.5,67.0,5.6,4.8,606019,2015,Secondary,,,,,,
171,4,5,181836.0,143439.0,66.1,78.1,4.5,4.4,607230,2015,Secondary,,,,,,
172,5,6,128810.0,104873.0,62.5,72.7,6.6,6.0,607920,2015,Secondary,,,,,,
173,6,7,312044.0,251964.0,62.4,73.2,7.0,6.5,608160,2015,Secondary,,,,,,
174,7,8,51275.0,40024.0,47.9,58.2,14.7,14.6,610860,2015,Secondary,,,,,,
175,8,9,438275.0,343685.0,61.4,73.6,6.9,6.4,611820,2015,Secondary,,,,,,
176,9,10,120392.0,84541.0,52.9,68.0,8.5,8.0,612070,2015,Secondary,,,,,,
177,10,11,144380.0,109561.0,53.3,67.3,5.3,5.2,612120,2015,Secondary,,,,,,
178,11,12,136058.0,105037.0,60.0,72.4,7.7,7.2,612910,2015,Secondary,,,,,,
179,12,13,69577.0,50780.0,40.5,48.2,4.7,4.5,613530,2015,Secondary,,,,,,
180,13,14,187026.0,148240.0,63.8,76.8,5.2,5.2,614430,2015,Secondary,,,,,,
181,14,15,203427.0,154974.0,58.0,71.1,8.8,7.7,614760,2015,Secondary,,,,,,
182,15,16,383983.0,293754.0,57.7,70.6,8.4,7.6,616230,2015,Secondary,,,,,,
183,16,17,52819.0,39334.0,53.8,66.0,9.4,9.2,616500,2015,Secondary,,,,,,
184,17,18,266490.0,197930.0,61.5,75.8,5.1,4.8,618060,2015,Secondary,,,,,,
185,18,19,131453.0,102078.0,63.5,75.4,6.7,7.0,618930,2015,Secondary,,,,,,
186,19,20,467419.0,365741.0,55.7,66.3,11.0,10.5,619540,2015,Secondary,,,,,,
187,20,21,90355.0,66745.0,57.0,71.7,7.4,7.4,621600,2015,Secondary,,,,,,
188,21,22,130199.0,97556.0,46.9,58.4,13.5,11.1,624660,2015,Secondary,,,,,,
189,22,23,208975.0,158011.0,51.8,63.2,12.7,12.2,625150,2015,Secondary,,,,,,
190,23,24,88266.0,71793.0,69.8,80.6,3.1,3.0,626310,2015,Secondary,,,,,,
191,24,25,73806.0,47150.0,45.6,62.5,9.0,8.0,626880,2015,Secondary,,,,,,
192,25,26,251602.0,191199.0,58.2,70.8,7.3,6.9,629270,2015,Secondary,,,,,,
193,26,27,133788.0,100712.0,51.1,63.5,10.4,10.1,630210,2015,Secondary,,,,,,
194,27,28,63518.0,45540.0,61.1,74.4,5.8,5.5,630250,2015,Secondary,,,,,,
195,28,29,72851.0,50043.0,51.9,68.2,7.6,6.8,630750,2015,Secondary,,,,,,
196,29,30,144527.0,106930.0,57.8,73.7,5.9,5.5,633630,2015,Secondary,,,,,,
197,30,31,129558.0,101723.0,59.2,70.3,6.5,5.7,633980,2015,Secondary,,,,,,
198,31,32,146514.0,106652.0,59.5,73.8,4.7,3.8,634380,2015,Secondary,,,,,,
199,32,33,193896.0,147750.0,65.7,79.9,4.6,4.0,634980,2015,Secondary,,,,,,
200,33,34,61727.0,46043.0,60.5,73.1,2.9,3.2,635110,2015,Secondary,,,,,,
201,34,35,86454.0,62885.0,56.0,68.2,6.3,4.9,635600,2015,Secondary,,,,,,
202,35,36,110534.0,84856.0,63.1,75.1,6.8,6.7,635670,2015,Secondary,,,,,,
203,36,37,172562.0,129357.0,61.2,74.1,6.0,5.1,635830,2015,Secondary,,,,,,
204,37,38,203149.0,154994.0,64.1,76.7,4.4,4.4,636390,2015,Secondary,,,,,,
205,38,39,81278.0,56065.0,52.2,66.2,4.6,4.6,636600,2015,Secondary,,,,,,
206,39,40,119933.0,90013.0,42.8,54.2,17.4,15.0,636972,2015,Secondary,,,,,,
207,40,41,387982.0,303427.0,55.6,66.9,8.4,8.0,638640,2015,Secondary,,,,,,
208,41,42,96348.0,65205.0,62.3,79.3,3.2,3.1,638790,2015,Secondary,,,,,,
209,42,43,57630.0,43497.0,52.4,65.7,6.1,5.1,639930,2015,Secondary,,,,,,
210,43,44,186085.0,145658.0,58.3,70.6,6.2,5.9,642480,2015,Secondary,,,,,,
211,44,45,218386.0,171082.0,62.9,74.6,6.3,5.6,642510,2015,Secondary,,,,,,
0,0,1,82334.0,62228.0,48.6,60.4,8.7,7.7,600014,2016,Unified,,,,,,
1,1,2,63598.0,47083.0,63.1,76.1,3.5,3.4,600016,2016,Unified,,,,,,
2,2,3,63453.0,46795.0,45.9,58.1,13.1,13.1,600017,2016,Unified,,,,,,
3,3,4,62993.0,48061.0,61.5,73.9,4.0,3.5,600020,2016,Unified,,,,,,
4,4,5,100634.0,80312.0,58.9,69.9,8.2,7.1,600027,2016,Unified,,,,,,
5,5,6,120506.0,92970.0,58.7,70.6,7.8,7.1,600028,2016,Unified,,,,,,
6,6,7,84976.0,66062.0,57.9,70.8,8.6,8.0,600029,2016,Unified,,,,,,
7,7,8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600032,2016,Unified,,,,,,
8,8,9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600036,2016,Unified,,,,,,
