,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
31,91392,47726,-999999999,-999999999,-999999999,-999999999,30264,-999999999,62951,17861,70531,58.5,58.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.1,-999999999.0,58.1,60.7,70.7,8.3,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.0,-999999999.0,8.9,2.2,8.0,06,09390,0609390,2016
32,120722,43901,37769,-999999999,-999999999,-999999999,35337,-999999999,76956,-999999999,92366,53.9,55.9,44.9,-999999999.0,-999999999.0,-999999999.0,61.7,-999999999.0,59.2,-999999999.0,65.2,10.1,8.0,14.8,-999999999.0,-999999999.0,-999999999.0,7.3,-999999999.0,8.0,-999999999.0,9.1,06,09620,0609620,2016
33,114727,95819,-999999999,-999999999,12779,-999999999,-999999999,-999999999,15255,82674,81673,60.7,60.7,-999999999.0,-999999999.0,60.4,-999999999.0,-999999999.0,-999999999.0,67.4,59.4,74.6,4.8,4.7,-999999999.0,-999999999.0,2.2,-999999999.0,-999999999.0,-999999999.0,6.5,4.4,4.7,06,09640,0609640,2016
34,221646,136906,-999999999,-999999999,31561,-999999999,28917,-999999999,88990,81768,176423,60.8,60.3,-999999999.0,-999999999.0,57.3,-999999999.0,65.3,-999999999.0,61.7,60.7,71.7,6.0,5.9,-999999999.0,-999999999.0,4.8,-999999999.0,8.9,-999999999.0,8.3,4.3,5.5,06,09850,0609850,2016
35,65755,27873,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37057,13822,49766,63.3,57.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.1,55.3,79.1,4.9,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,5.8,4.5,06,10050,0610050,2016
36,70047,43420,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36872,49947,49.2,54.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.2,61.7,6.0,5.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.2,5.2,06,10620,0610620,2016
37,156428,107910,-999999999,-999999999,-999999999,-999999999,35192,-999999999,68163,78584,97205,48.5,44.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.4,-999999999.0,59.2,38.7,68.7,7.2,6.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.4,-999999999.0,7.6,5.7,6.6,06,11110,0611110,2016
38,95735,61235,-999999999,-999999999,-999999999,-999999999,18185,-999999999,66583,14508,74507,64.3,63.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,72.1,-999999999.0,67.6,53.6,77.2,5.7,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,-999999999.0,5.4,5.6,5.4,06,11460,0611460,2016
39,259386,111169,31893,-999999999,73558,-999999999,-999999999,17216,48650,85347,196546,57.7,59.5,49.8,-999999999.0,56.0,-999999999.0,-999999999.0,60.3,60.3,58.9,71.2,6.9,3.9,16.1,-999999999.0,6.6,-999999999.0,-999999999.0,9.0,6.9,3.4,6.7,06,12330,0612330,2016
40,110540,55566,19720,-999999999,16673,-999999999,-999999999,-999999999,29343,40148,83710,59.7,61.8,48.6,-999999999.0,61.2,-999999999.0,-999999999.0,-999999999.0,68.7,56.7,72.3,6.3,5.3,13.8,-999999999.0,1.7,-999999999.0,-999999999.0,-999999999.0,4.0,6.4,6.0,06,13360,0613360,2016
