,District,year,ENR_TOTAL,Percent Change,NCESDist
113160,Hamilton Unified,2017,690,-1.0043041606886656,0601339
176231,Hamilton Unified,2018,714,3.4782608695652173,0601339
189923,Hamilton Unified,2019,694,-2.801120448179272,0601339
40589,Bishop Unified,2015,1932,,0601409
67800,Bishop Unified,2016,1890,-2.1739130434782608,0601409
91685,Bishop Unified,2017,1951,3.2275132275132274,0601409
157531,Bishop Unified,2018,1977,1.3326499231163504,0601409
218614,Bishop Unified,2019,2087,5.5639858371269595,0601409
748,Lammersville Joint Unified,2015,4062,,0601410
55581,Lammersville Joint Unified,2016,4520,11.275233874938454,0601410
134466,Lammersville Joint Unified,2017,4907,8.561946902654867,0601410
170173,Lammersville Joint Unified,2018,5348,8.98716119828816,0601410
199377,Lammersville Joint Unified,2019,5916,10.620792819745699,0601410
38193,SBE - San Francisco Flex Academy,2015,82,,0601411
25638,Santa Barbara Unified,2015,15447,,0601414
86241,Santa Barbara Unified,2016,15182,-1.715543471224186,0601414
94132,Santa Barbara Unified,2017,15037,-0.9550783822948229,0601414
147774,Santa Barbara Unified,2018,14796,-1.6027133071756337,0601414
215428,Santa Barbara Unified,2019,14534,-1.770748851040822,0601414
27082,Washington Unified,2015,3045,,0601415
45395,Washington Unified,2016,2998,-1.5435139573070606,0601415
131600,Washington Unified,2017,2975,-0.7671781187458305,0601415
178133,Washington Unified,2018,2978,0.10084033613445378,0601415
183006,Washington Unified,2019,3023,1.511081262592344,0601415
38192,SBE - Synergy,2015,194,,0601419
19000,Fortuna Elementary,2015,1374,,0601420
84518,Fortuna Elementary,2016,1377,0.21834061135371177,0601420
134353,Fortuna Elementary,2017,1347,-2.178649237472767,0601420
140684,Fortuna Elementary,2018,1356,0.6681514476614699,0601420
205194,Fortuna Elementary,2019,1338,-1.3274336283185841,0601420
45169,California Education Authority (CEA) Headquarters,2015,453,,0601422
49519,California Education Authority (CEA) Headquarters,2016,388,-14.348785871964681,0601422
134271,California Education Authority (CEA) Headquarters,2017,301,-22.422680412371136,0601422
172762,California Education Authority (CEA) Headquarters,2018,292,-2.990033222591362,0601422
205729,California Education Authority (CEA) Headquarters,2019,305,4.4520547945205475,0601422
43900,Bonsall Unified,2015,2959,,0601426
57627,Bonsall Unified,2016,2858,-3.41331530922609,0601426
124737,Bonsall Unified,2017,2929,2.484254723582925,0601426
168574,Bonsall Unified,2018,2516,-14.100375554796859,0601426
197855,Bonsall Unified,2019,2470,-1.8282988871224166,0601426
32141,Penn Valley Union Elementary,2015,683,,0601427
53459,Penn Valley Union Elementary,2016,600,-12.152269399707174,0601427
102403,Penn Valley Union Elementary,2017,561,-6.5,0601427
179903,Penn Valley Union Elementary,2018,590,5.169340463458111,0601427
212436,Penn Valley Union Elementary,2019,580,-1.694915254237288,0601427
27794,Wiseburn Unified,2015,4128,,0601428
72464,Wiseburn Unified,2016,4300,4.166666666666666,0601428
122828,Wiseburn Unified,2017,4495,4.534883720930233,0601428
146186,Wiseburn Unified,2018,4503,0.17797552836484984,0601428
181118,Wiseburn Unified,2019,4611,2.3984010659560293,0601428
38194,SBE - Paramount Collegiate Academy,2015,55,,0601432
70621,SBE - Paramount Collegiate Academy,2016,82,49.09090909090909,0601432
105289,SBE - Paramount Collegiate Academy,2017,76,-7.317073170731707,0601432
65250,Upper Lake Unified,2016,834,,0601442
113126,Upper Lake Unified,2017,838,0.4796163069544364,0601442
160451,Upper Lake Unified,2018,855,2.028639618138425,0601442
183615,Upper Lake Unified,2019,843,-1.4035087719298245,0601442
98764,SBE - Celerity Rolas,2017,309,,0601448
0,ABC Unified,2015,20811,,0601620
86912,ABC Unified,2016,20706,-0.5045408678102926,0601620
132076,ABC Unified,2017,20497,-1.0093692649473582,0601620
149078,ABC Unified,2018,20402,-0.46348246084792893,0601620
182120,ABC Unified,2019,20229,-0.8479560827369866,0601620
41540,Acalanes Union High,2015,5522,,0601650
71615,Acalanes Union High,2016,5511,-0.199203187250996,0601650
134303,Acalanes Union High,2017,5642,2.3770640537107606,0601650
144614,Acalanes Union High,2018,5655,0.2304147465437788,0601650
186420,Acalanes Union High,2019,5606,-0.8664898320070734,0601650
40463,Ackerman Charter,2015,556,,0601680
83050,Ackerman Charter,2016,586,5.39568345323741,0601680
112058,Ackerman Charter,2017,607,3.583617747440273,0601680
155538,Ackerman Charter,2018,593,-2.3064250411861615,0601680
184477,Ackerman Charter,2019,592,-0.16863406408094433,0601680
43408,Adelanto Elementary,2015,10410,,0601710
74401,Adelanto Elementary,2016,10257,-1.4697406340057637,0601710
119536,Adelanto Elementary,2017,8672,-15.452861460466021,0601710
139006,Adelanto Elementary,2018,8670,-0.023062730627306273,0601710
186023,Adelanto Elementary,2019,8363,-3.540945790080738,0601710
44392,Alameda Unified,2015,11065,,0601770
46317,Alameda Unified,2016,11170,0.9489380930863082,0601770
123840,Alameda Unified,2017,11267,0.8683974932855865,0601770
172599,Alameda Unified,2018,11227,-0.35501908227567236,0601770
181014,Alameda Unified,2019,11248,0.18704907811525787,0601770
40975,Albany City Unified,2015,3818,,0601860
49539,Albany City Unified,2016,3699,-3.116815086432687,0601860
112312,Albany City Unified,2017,3656,-1.1624763449580968,0601860
172375,Albany City Unified,2018,3676,0.5470459518599562,0601860
187071,Albany City Unified,2019,3575,-2.747551686615887,0601860
43752,Alexander Valley Union Elementary,2015,123,,0601890
45981,Alexander Valley Union Elementary,2016,130,5.691056910569105,0601890
117959,Alexander Valley Union Elementary,2017,116,-10.76923076923077,0601890
178328,Alexander Valley Union Elementary,2018,110,-5.172413793103448,0601890
184916,Alexander Valley Union Elementary,2019,112,1.8181818181818181,0601890
43521,Alisal Union,2015,9282,,0601950
69207,Alisal Union,2016,9235,-0.5063563887093299,0601950
115396,Alisal Union,2017,9162,-0.7904710341093666,0601950
158181,Alisal Union,2018,8835,-3.5690897184020955,0601950
187959,Alisal Union,2019,8750,-0.9620826259196379,0601950
41262,Alpine County Unified,2015,80,,0602070
56297,Alpine County Unified,2016,80,0.0,0602070
134712,Alpine County Unified,2017,80,0.0,0602070
170836,Alpine County Unified,2018,79,-1.25,0602070
182504,Alpine County Unified,2019,70,-11.39240506329114,0602070
43928,Alpine Union Elementary,2015,1707,,0602100
64361,Alpine Union Elementary,2016,1745,2.2261277094317515,0602100
132242,Alpine Union Elementary,2017,1709,-2.0630372492836675,0602100
168324,Alpine Union Elementary,2018,1612,-5.675833820947923,0602100
182400,Alpine Union Elementary,2019,1635,1.4267990074441688,0602100
44501,Alta Loma Elementary,2015,5904,,0602160
56503,Alta Loma Elementary,2016,5985,1.3719512195121952,0602160
93293,Alta Loma Elementary,2017,5983,-0.03341687552213868,0602160
162192,Alta Loma Elementary,2018,6045,1.0362694300518136,0602160
182429,Alta Loma Elementary,2019,6055,0.1654259718775848,0602160
43830,Alta-Dutch Flat Union Elementary,2015,92,,0602250
54658,Alta-Dutch Flat Union Elementary,2016,104,13.043478260869565,0602250
95906,Alta-Dutch Flat Union Elementary,2017,109,4.807692307692308,0602250
169864,Alta-Dutch Flat Union Elementary,2018,99,-9.174311926605505,0602250
185808,Alta-Dutch Flat Union Elementary,2019,100,1.0101010101010102,0602250
40262,Alum Rock Union Elementary,2015,12064,,0602310
68205,Alum Rock Union Elementary,2016,11621,-3.672082228116711,0602310
90406,Alum Rock Union Elementary,2017,11266,-3.05481455984855,0602310
156021,Alum Rock Union Elementary,2018,10740,-4.668915320433162,0602310
184248,Alum Rock Union Elementary,2019,10260,-4.4692737430167595,0602310
43511,Alview-Dairyland Union Elementary,2015,384,,0602360
65268,Alview-Dairyland Union Elementary,2016,381,-0.78125,0602360
105675,Alview-Dairyland Union Elementary,2017,395,3.674540682414698,0602360
159845,Alview-Dairyland Union Elementary,2018,402,1.7721518987341773,0602360
184864,Alview-Dairyland Union Elementary,2019,385,-4.228855721393035,0602360
40154,Alvina Elementary,2015,183,,0602370
46784,Alvina Elementary,2016,182,-0.546448087431694,0602370
108358,Alvina Elementary,2017,188,3.296703296703297,0602370
178373,Alvina Elementary,2018,203,7.9787234042553195,0602370
183819,Alvina Elementary,2019,198,-2.4630541871921183,0602370
43177,Alvord Unified,2015,19433,,0602430
53075,Alvord Unified,2016,19227,-1.0600524880358155,0602430
101683,Alvord Unified,2017,18977,-1.3002548499505904,0602430
172450,Alvord Unified,2018,18479,-2.6242293302418718,0602430
185670,Alvord Unified,2019,18140,-1.8345148546999295,0602430
44127,Amador County Unified,2015,3829,,0602450
48561,Amador County Unified,2016,3864,0.9140767824497258,0602450
102872,Amador County Unified,2017,3926,1.6045548654244308,0602450
140282,Amador County Unified,2018,3962,0.9169638308711157,0602450
183046,Amador County Unified,2019,3958,-0.10095911155981827,0602450
44002,Anaheim Elementary,2015,18840,,0602610
89674,Anaheim Elementary,2016,18548,-1.5498938428874736,0602610
99501,Anaheim Elementary,2017,17911,-3.434332542592193,0602610
139553,Anaheim Elementary,2018,17332,-3.23265032661493,0602610
187579,Anaheim Elementary,2019,16913,-2.4174936533579503,0602610
41565,Anaheim Union High,2015,31253,,0602630
70679,Anaheim Union High,2016,30938,-1.0079032412888362,0602630
109636,Anaheim Union High,2017,30704,-0.7563514125024242,0602630
152586,Anaheim Union High,2018,30270,-1.4134966128191766,0602630
184657,Anaheim Union High,2019,29797,-1.5626032375289065,0602630
26632,West Sonoma County Union High,2015,1995,,0602670
87450,West Sonoma County Union High,2016,1923,-3.6090225563909777,0602670
111866,West Sonoma County Union High,2017,1934,0.5720228809152366,0602670
138984,West Sonoma County Union High,2018,1911,-1.189245087900724,0602670
185986,West Sonoma County Union High,2019,1823,-4.604918890633177,0602670
42530,Anderson Union High,2015,1844,,0602700
78703,Anderson Union High,2016,1812,-1.735357917570499,0602700
105855,Anderson Union High,2017,1779,-1.8211920529801324,0602700
155080,Anderson Union High,2018,1737,-2.360876897133221,0602700
183721,Anderson Union High,2019,1666,-4.087507196315487,0602700
43702,Anderson Valley Unified,2015,522,,0602730
88732,Anderson Valley Unified,2016,506,-3.065134099616858,0602730
106624,Anderson Valley Unified,2017,487,-3.7549407114624502,0602730
149921,Anderson Valley Unified,2018,489,0.41067761806981523,0602730
188024,Anderson Valley Unified,2019,448,-8.384458077709612,0602730
40190,Antelope Valley Union High,2015,24094,,0602820
75663,Antelope Valley Union High,2016,23872,-0.9213912177305553,0602820
95729,Antelope Valley Union High,2017,22693,-4.938840482573727,0602820
144981,Antelope Valley Union High,2018,22442,-1.1060679504693078,0602820
182567,Antelope Valley Union High,2019,22532,0.40103377595579714,0602820
44879,Antioch Unified,2015,17690,,0602850
88887,Antioch Unified,2016,17183,-2.8660260033917466,0602850
94890,Antioch Unified,2017,17052,-0.762381423499971,0602850
148051,Antioch Unified,2018,17025,-0.15833919774806474,0602850
208642,Antioch Unified,2019,17008,-0.0998531571218796,0602850
44262,Arcadia Unified,2015,9523,,0602970
84081,Arcadia Unified,2016,9508,-0.15751338863803424,0602970
93124,Arcadia Unified,2017,9440,-0.715187210769878,0602970
146293,Arcadia Unified,2018,9339,-1.069915254237288,0602970
216318,Arcadia Unified,2019,9239,-1.0707784559374667,0602970
43835,Arcata Elementary,2015,1067,,0603000
87335,Arcata Elementary,2016,1064,-0.28116213683223995,0603000
93619,Arcata Elementary,2017,1087,2.161654135338346,0603000
149345,Arcata Elementary,2018,1128,3.771849126034959,0603000
216567,Arcata Elementary,2019,1153,2.2163120567375887,0603000
35321,Northern Humboldt Union High,2015,1790,,0603030
