,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
472,Las Virgenes Unified,2019,10866,-2.2402159244264506,621000,Unified,53269.0,59.4,6.1,36680.0,75.0,4.9
473,Liberty Union High,2015,8170,,621600,Secondary,90355.0,57.0,7.4,66745.0,71.7,7.4
474,Liberty Union High,2016,8184,0.1713586291309669,621600,Secondary,93297.0,58.2,7.0,69858.0,71.6,5.7
475,Liberty Union High,2017,8205,0.2565982404692082,621600,Secondary,100287.0,61.5,5.5,75894.0,74.9,5.1
476,Liberty Union High,2018,8305,1.218769043266301,621600,Secondary,100223.0,60.7,4.7,70749.0,76.3,4.8
477,Liberty Union High,2019,8280,-0.3010234798314268,621600,Secondary,99440.0,63.0,2.9,72255.0,76.9,2.7
478,Livermore Valley Joint Unified,2015,14025,,622110,Unified,73297.0,69.0,2.1,58733.0,80.8,2.1
479,Livermore Valley Joint Unified,2016,13994,-0.2210338680926916,622110,Unified,77959.0,68.4,3.5,61438.0,81.6,3.1
480,Livermore Valley Joint Unified,2017,13746,-1.7721880806059738,622110,Unified,78126.0,67.8,2.2,60636.0,80.5,2.2
481,Livermore Valley Joint Unified,2018,13717,-0.210970464135021,622110,Unified,79290.0,67.3,4.2,61515.0,78.8,4.1
482,Livermore Valley Joint Unified,2019,13704,-0.0947729095283225,622110,Unified,72276.0,65.5,2.8,52393.0,81.2,2.3
483,Lodi Unified,2015,30327,,622230,Unified,130111.0,55.8,8.6,95711.0,69.8,7.1
484,Lodi Unified,2016,30730,1.3288488805354963,622230,Unified,130833.0,56.2,7.9,96014.0,69.7,7.3
485,Lodi Unified,2017,31329,1.949235274975594,622230,Unified,129047.0,56.9,7.4,96755.0,69.4,6.4
486,Lodi Unified,2018,31588,0.8267100769255322,622230,Unified,135023.0,54.9,7.2,98005.0,69.9,6.6
487,Lodi Unified,2019,31328,-0.8230973787514245,622230,Unified,134109.0,57.5,5.5,95779.0,74.1,4.5
488,Long Beach Unified,2015,77565,,622500,Unified,415182.0,59.7,5.9,327984.0,71.3,5.6
489,Long Beach Unified,2016,76194,-1.7675497969444982,622500,Unified,409425.0,62.1,6.6,325094.0,73.6,6.2
490,Long Beach Unified,2017,74407,-2.34532902853243,622500,Unified,415722.0,61.5,6.2,328709.0,72.7,5.6
491,Long Beach Unified,2018,72947,-1.9621809775961936,622500,Unified,420140.0,63.5,5.0,336450.0,74.7,4.5
492,Long Beach Unified,2019,71533,-1.938393628250648,622500,Unified,418514.0,63.9,5.0,327615.0,76.5,4.7
493,Los Angeles Unified,2015,634387,,622710,Unified,3812660.0,60.6,7.4,3020582.0,71.8,7.0
494,Los Angeles Unified,2016,628644,-0.9052833680387524,622710,Unified,3840920.0,61.0,6.9,3024387.0,72.5,6.4
495,Los Angeles Unified,2017,617915,-1.7066893185968528,622710,Unified,3872722.0,62.1,6.4,3045809.0,73.7,6.1
496,Los Angeles Unified,2018,605310,-2.039924585096656,622710,Unified,3877095.0,62.6,6.0,3033591.0,74.3,5.7
497,Los Angeles Unified,2019,594744,-1.7455518659860236,622710,Unified,3871485.0,63.3,5.3,3023252.0,75.4,4.9
498,Lucia Mar Unified,2015,10704,,623080,Unified,,,,,,
499,Lucia Mar Unified,2016,10647,-0.5325112107623318,623080,Unified,,,,,,
500,Lucia Mar Unified,2017,10549,-0.920447074293228,623080,Unified,,,,,,
501,Lucia Mar Unified,2018,10363,-1.7632003033462889,623080,Unified,66172.0,53.2,4.3,45286.0,69.4,3.7
502,Lucia Mar Unified,2019,10264,-0.9553218180063688,623080,Unified,,,,,,
503,Lynwood Unified,2015,14809,,623160,Unified,51561.0,59.2,9.3,41838.0,69.0,8.1
504,Lynwood Unified,2016,14467,-2.309406442028496,623160,Unified,51397.0,59.2,7.9,41345.0,71.8,6.2
505,Lynwood Unified,2017,14171,-2.0460358056265986,623160,Unified,50480.0,54.3,9.2,41624.0,63.5,8.9
506,Lynwood Unified,2018,13755,-2.935572648366382,623160,Unified,50502.0,57.5,7.2,41034.0,66.1,6.4
507,Lynwood Unified,2019,13208,-3.976735732460923,623160,Unified,50077.0,57.4,8.9,39942.0,68.5,8.1
508,Madera Unified,2015,20530,,623340,Unified,63141.0,61.3,5.6,48482.0,72.7,5.4
509,Madera Unified,2016,20779,1.212859230394545,623340,Unified,65575.0,52.6,12.6,50732.0,64.3,11.6
510,Madera Unified,2017,20953,0.8373838972039077,623340,Unified,67627.0,52.9,9.5,52309.0,65.4,8.6
511,Madera Unified,2018,21038,0.4056698324822221,623340,Unified,64764.0,55.8,13.5,49160.0,67.0,13.1
512,Madera Unified,2019,21145,0.5086034794181957,623340,Unified,65057.0,57.9,7.8,49502.0,70.5,6.4
513,Magnolia Elementary,2015,6418,,623430,Elementary,50077.0,62.9,3.4,39482.0,76.1,3.2
514,Magnolia Elementary,2016,6277,-2.1969460891243378,623430,Elementary,47539.0,59.4,6.1,38437.0,70.4,6.4
515,Magnolia Elementary,2017,6077,-3.186235462800701,623430,Elementary,52191.0,65.2,4.8,40800.0,77.9,3.9
516,Magnolia Elementary,2018,5851,-3.718940266578904,623430,Elementary,53245.0,61.2,5.2,40929.0,72.5,5.1
517,Magnolia Elementary,2019,5671,-3.076397197060331,623430,Elementary,50449.0,62.1,4.7,40263.0,72.4,4.6
518,Manteca Unified,2015,23169,,623610,Unified,97902.0,51.6,12.4,76769.0,62.6,11.7
519,Manteca Unified,2016,23406,1.022918554965687,623610,Unified,100477.0,54.4,10.1,79178.0,65.3,9.7
520,Manteca Unified,2017,23722,1.3500811757668971,623610,Unified,107162.0,53.0,6.7,81186.0,65.3,6.2
521,Manteca Unified,2018,23588,-0.5648764859623978,623610,Unified,113642.0,53.4,6.2,86106.0,65.3,5.7
522,Manteca Unified,2019,23814,0.9581142954044428,623610,Unified,111689.0,52.7,4.3,85009.0,64.6,3.8
523,Milpitas Unified,2015,10291,,624500,Unified,62154.0,59.5,5.1,49162.0,70.6,5.3
524,Milpitas Unified,2016,10257,-0.3303857739772616,624500,Unified,60932.0,63.6,3.0,49388.0,76.0,3.1
525,Milpitas Unified,2017,10315,0.5654674856195769,624500,Unified,60373.0,67.8,2.6,48533.0,79.0,2.6
526,Milpitas Unified,2018,10172,-1.3863305865244788,624500,Unified,63392.0,61.6,3.6,51171.0,71.7,3.6
527,Milpitas Unified,2019,10299,1.2485253637436098,624500,Unified,70877.0,67.0,4.5,55926.0,79.8,4.8
528,Menifee Union Elementary,2015,11219,,624540,Elementary,63752.0,50.9,8.3,45689.0,66.7,8.4
529,Menifee Union Elementary,2016,11667,3.9932257776985463,624540,Elementary,69912.0,51.3,7.5,47524.0,68.2,5.1
530,Menifee Union Elementary,2017,11664,-0.0257135510413988,624540,Elementary,77263.0,54.0,6.5,57799.0,67.0,6.5
531,Menifee Union Elementary,2018,11937,2.340534979423869,624540,Elementary,76751.0,49.7,9.1,54284.0,64.5,8.7
532,Menifee Union Elementary,2019,12366,3.5938678059814024,624540,Elementary,76415.0,53.4,7.8,53426.0,71.6,5.6
533,Merced City Elementary,2015,10882,,624600,Elementary,65989.0,43.1,16.9,49845.0,54.3,13.5
534,Merced City Elementary,2016,10900,0.1654107700790296,624600,Elementary,66490.0,50.2,14.9,50611.0,61.6,12.7
535,Merced City Elementary,2017,11072,1.5779816513761469,624600,Elementary,63823.0,47.0,11.8,48371.0,58.9,10.1
536,Merced City Elementary,2018,11002,-0.6322254335260116,624600,Elementary,69163.0,49.3,13.2,48913.0,62.0,10.9
537,Merced City Elementary,2019,11079,0.6998727504090165,624600,Elementary,68335.0,53.7,11.4,53401.0,64.7,10.3
538,Merced Union High,2015,10201,,624660,Secondary,130199.0,46.9,13.5,97556.0,58.4,11.1
539,Merced Union High,2016,10375,1.7057151259680423,624660,Secondary,130438.0,50.7,14.3,98805.0,62.3,12.7
540,Merced Union High,2017,10541,1.6,624660,Secondary,131635.0,50.3,11.9,100062.0,62.6,10.2
541,Merced Union High,2018,10523,-0.1707617873067071,624660,Secondary,133085.0,52.3,11.4,97474.0,65.2,9.4
542,Merced Union High,2019,10748,2.138173524660268,624660,Secondary,137172.0,57.4,9.6,106224.0,68.9,8.5
543,Montebello Unified,2015,28283,,625470,Unified,134547.0,56.6,8.3,104354.0,69.6,7.6
544,Montebello Unified,2016,27361,-3.259908779125269,625470,Unified,131472.0,55.6,8.0,98281.0,70.1,7.3
545,Montebello Unified,2017,26479,-3.22356639011732,625470,Unified,127892.0,58.6,5.7,95991.0,73.1,5.3
546,Montebello Unified,2018,25359,-4.22976698515805,625470,Unified,132736.0,59.9,6.0,100330.0,73.2,5.7
547,Montebello Unified,2019,24324,-4.081391222051343,625470,Unified,128252.0,58.7,5.7,95554.0,72.8,5.5
548,Monterey Peninsula Unified,2015,10633,,625530,Unified,73556.0,54.4,5.4,54411.0,67.1,4.9
549,Monterey Peninsula Unified,2016,10732,0.9310636697075144,625530,Unified,70994.0,56.4,3.9,52900.0,68.8,3.3
550,Monterey Peninsula Unified,2017,10682,-0.4658963846440551,625530,Unified,78949.0,59.0,5.8,59221.0,70.9,5.2
551,Monterey Peninsula Unified,2018,10658,-0.2246770267740123,625530,Unified,76673.0,60.6,4.6,57714.0,72.1,4.5
552,Monterey Peninsula Unified,2019,10486,-1.6138112216175644,625530,Unified,77250.0,59.1,4.1,55086.0,72.9,3.8
553,Moreno Valley Unified,2015,33869,,625800,Unified,132958.0,57.1,10.1,105380.0,68.0,8.7
554,Moreno Valley Unified,2016,33343,-1.55304260533231,625800,Unified,132313.0,58.4,10.0,108544.0,67.6,9.2
555,Moreno Valley Unified,2017,33078,-0.7947695168401164,625800,Unified,136119.0,58.6,9.0,108539.0,68.5,8.1
556,Moreno Valley Unified,2018,32725,-1.0671745571074431,625800,Unified,134418.0,58.3,8.4,107574.0,68.7,8.0
557,Moreno Valley Unified,2019,32255,-1.436210847975554,625800,Unified,138856.0,58.9,5.2,111338.0,69.9,4.5
558,Morgan Hill Unified,2015,9121,,625830,Unified,51775.0,60.1,4.7,38892.0,73.7,3.9
559,Morgan Hill Unified,2016,9133,0.1315645214340532,625830,Unified,52103.0,64.3,3.7,38197.0,78.0,3.8
560,Morgan Hill Unified,2017,9118,-0.164239570787255,625830,Unified,51030.0,66.5,4.0,40336.0,76.7,3.8
561,Morgan Hill Unified,2018,8929,-2.072822987497258,625830,Unified,52738.0,63.8,3.4,39327.0,78.1,3.5
562,Morgan Hill Unified,2019,9005,0.8511591443610707,625830,Unified,53160.0,62.8,4.2,39264.0,77.9,3.4
563,Morongo Unified,2015,10236,,625860,Unified,54244.0,37.4,11.1,40565.0,46.0,10.7
564,Morongo Unified,2016,8437,-17.575224697147323,625860,Unified,55966.0,40.9,11.1,42344.0,49.9,9.9
565,Morongo Unified,2017,8632,2.311248073959938,625860,Unified,57258.0,39.9,14.3,42469.0,49.5,13.7
566,Morongo Unified,2018,8614,-0.2085264133456904,625860,Unified,55846.0,39.4,9.9,38683.0,49.4,11.2
567,Morongo Unified,2019,8478,-1.5788251683306245,625860,Unified,54718.0,40.8,11.0,40476.0,49.0,9.4
568,Mountain View Whisman,2015,5079,,626280,Elementary,56070.0,73.9,3.4,47644.0,82.3,3.2
569,Mountain View Whisman,2016,5120,0.8072455207718056,626280,Elementary,55667.0,68.3,3.7,45838.0,79.3,3.6
570,Mountain View Whisman,2017,5124,0.078125,626280,Elementary,60789.0,72.9,3.0,50216.0,82.5,3.1
571,Mountain View Whisman,2018,5103,-0.4098360655737705,626280,Elementary,,,,,,
572,Mountain View Whisman,2019,5074,-0.5682931608857535,626280,Elementary,,,,,,
573,Mountain View-Los Altos Union High,2015,4015,,626310,Secondary,88266.0,69.8,3.1,71793.0,80.6,3.0
574,Mountain View-Los Altos Union High,2016,4084,1.7185554171855542,626310,Secondary,91555.0,64.4,3.8,71612.0,77.8,3.7
575,Mountain View-Los Altos Union High,2017,4285,4.921645445641528,626310,Secondary,95137.0,68.2,3.1,74359.0,80.7,3.2
576,Mountain View-Los Altos Union High,2018,4368,1.936989498249708,626310,Secondary,93496.0,67.2,2.7,74250.0,79.7,2.3
577,Mountain View-Los Altos Union High,2019,4521,3.5027472527472527,626310,Secondary,96912.0,67.0,2.9,75135.0,79.8,2.7
578,Mt. Diablo Unified,2015,31801,,626370,Unified,218842.0,62.2,6.8,169485.0,74.6,6.4
579,Mt. Diablo Unified,2016,31610,-0.6006100437093173,626370,Unified,217519.0,62.2,5.5,165185.0,75.8,5.1
580,Mt. Diablo Unified,2017,31135,-1.5026890224612466,626370,Unified,214482.0,62.6,4.4,163197.0,76.1,4.2
581,Mt. Diablo Unified,2018,30826,-0.9924522241850008,626370,Unified,226568.0,64.5,4.5,169750.0,78.5,4.6
582,Mt. Diablo Unified,2019,30750,-0.2465451242457665,626370,Unified,216354.0,65.3,3.2,162186.0,80.1,3.1
583,Napa Valley Unified,2015,18460,,626640,Unified,96454.0,62.2,4.7,71294.0,76.6,4.5
584,Napa Valley Unified,2016,18211,-1.3488624052004334,626640,Unified,98493.0,63.6,4.7,70514.0,79.3,4.7
585,Napa Valley Unified,2017,18078,-0.7303278238427324,626640,Unified,99594.0,63.6,4.3,72191.0,79.1,4.4
586,Napa Valley Unified,2018,17834,-1.3497068259763247,626640,Unified,96837.0,61.8,6.0,68794.0,78.0,5.5
587,Napa Valley Unified,2019,17647,-1.0485589323763598,626640,Unified,96795.0,60.5,3.2,68118.0,78.0,3.0
588,Nevada Joint Union High,2015,2905,,626880,Secondary,73806.0,45.6,9.0,47150.0,62.5,8.0
589,Nevada Joint Union High,2016,2838,-2.306368330464716,626880,Secondary,70796.0,45.4,5.8,43872.0,62.4,6.0
590,Nevada Joint Union High,2017,2785,-1.867512332628612,626880,Secondary,72890.0,52.2,3.9,44622.0,71.1,3.1
591,Nevada Joint Union High,2018,2763,-0.7899461400359067,626880,Secondary,70398.0,49.6,3.8,41843.0,69.7,3.2
592,Nevada Joint Union High,2019,2771,0.2895403546869345,626880,Secondary,74329.0,51.5,2.1,46552.0,71.1,2.4
593,New Haven Unified,2015,12150,,626910,Unified,66681.0,59.5,4.5,50857.0,72.8,4.5
594,New Haven Unified,2016,11873,-2.279835390946502,626910,Unified,67141.0,62.1,4.8,53327.0,74.4,4.9
595,New Haven Unified,2017,11595,-2.341446980544092,626910,Unified,67366.0,65.9,3.0,53173.0,79.4,2.6
596,New Haven Unified,2018,11260,-2.889176369124623,626910,Unified,67612.0,65.9,2.6,52633.0,78.9,2.4
597,New Haven Unified,2019,11024,-2.0959147424511544,626910,Unified,64728.0,63.3,2.4,48501.0,78.6,2.5
598,Newhall,2015,6650,,627180,Elementary,54760.0,59.3,6.5,40767.0,71.9,5.7
599,Newhall,2016,6705,0.8270676691729323,627180,Elementary,60408.0,60.4,7.8,43952.0,74.1,7.8
600,Newhall,2017,6535,-2.535421327367636,627180,Elementary,52613.0,63.3,4.1,38714.0,77.4,4.1
601,Newhall,2018,6535,0.0,627180,Elementary,59108.0,60.9,5.0,44752.0,73.3,5.0
602,Newhall,2019,6264,-4.1469013006886,627180,Elementary,57044.0,59.6,3.6,42078.0,74.6,3.4
603,Newport-Mesa Unified,2015,21726,,627240,Unified,168049.0,63.9,5.0,127204.0,77.2,4.9
604,Newport-Mesa Unified,2016,21566,-0.7364448126668508,627240,Unified,164625.0,65.9,3.1,126187.0,78.2,2.9
605,Newport-Mesa Unified,2017,21216,-1.6229249744968932,627240,Unified,164935.0,65.8,3.1,124231.0,79.4,2.7
606,Newport-Mesa Unified,2018,20625,-2.785633484162896,627240,Unified,164771.0,65.1,3.1,122875.0,78.7,2.4
607,Newport-Mesa Unified,2019,20150,-2.3030303030303028,627240,Unified,159703.0,67.0,4.3,121002.0,80.8,4.0
608,Norwalk-La Mirada Unified,2015,18687,,627690,Unified,101074.0,55.9,6.4,75781.0,69.4,5.5
609,Norwalk-La Mirada Unified,2016,18354,-1.781987477925831,627690,Unified,100237.0,55.8,6.7,75490.0,68.9,5.9
610,Norwalk-La Mirada Unified,2017,17867,-2.653372561839381,627690,Unified,101954.0,60.6,5.8,75937.0,75.4,5.6
611,Norwalk-La Mirada Unified,2018,17362,-2.8264398052275146,627690,Unified,100148.0,59.9,4.3,73945.0,75.1,3.9
612,Norwalk-La Mirada Unified,2019,16911,-2.597627001497523,627690,Unified,101467.0,59.4,6.3,74688.0,73.8,5.9
613,Novato Unified,2017,7829,-0.0510660028086301,627720,Unified,,,,,,
614,Novato Unified,2018,7658,-2.1841869970622048,627720,Unified,52713.0,63.1,2.4,35795.0,79.8,2.6
615,Novato Unified,2019,7793,1.7628623661530427,627720,Unified,53039.0,58.9,3.8,32806.0,76.6,3.3
616,Oak Grove Elementary,2015,10607,,627810,Elementary,84558.0,63.0,5.8,67959.0,73.5,6.0
617,Oak Grove Elementary,2016,10335,-2.564344300933346,627810,Elementary,86808.0,68.7,5.1,70407.0,79.4,5.0
618,Oak Grove Elementary,2017,10275,-0.5805515239477503,627810,Elementary,93620.0,67.9,5.1,76789.0,78.6,4.4
619,Oak Grove Elementary,2018,9852,-4.116788321167883,627810,Elementary,88969.0,67.9,3.7,71962.0,79.4,3.9
620,Oak Grove Elementary,2019,9725,-1.289078359723914,627810,Elementary,95966.0,68.6,2.8,75083.0,81.5,3.0
621,Oakland Unified,2015,48662,,628050,Unified,342395.0,63.5,7.0,275859.0,74.0,6.5
622,Oakland Unified,2016,49188,1.0809255682051704,628050,Unified,346209.0,64.4,6.3,276396.0,76.1,5.9
623,Oakland Unified,2017,49748,1.1384890623729365,628050,Unified,349738.0,64.3,6.8,277854.0,75.5,6.7
624,Oakland Unified,2018,49735,-0.0261317037870869,628050,Unified,355658.0,66.3,5.3,280797.0,78.4,5.1
625,Oakland Unified,2019,49461,-0.5509198753392982,628050,Unified,353106.0,65.3,4.3,277604.0,78.2,3.9
626,Ocean View,2015,8721,,628140,Elementary,78757.0,62.5,4.4,58620.0,77.2,4.0
627,Ocean View,2016,8461,-2.9813094828574704,628140,Elementary,82822.0,63.5,5.3,62155.0,77.4,5.3
628,Ocean View,2017,8257,-2.4110625221605013,628140,Elementary,86181.0,65.9,4.2,63981.0,80.4,3.9
629,Ocean View,2018,7976,-3.403173065277946,628140,Elementary,79657.0,65.9,3.8,60041.0,80.4,4.0
630,Ocean View,2019,7712,-3.309929789368105,628140,Elementary,86182.0,62.0,6.4,62230.0,77.4,5.2
631,Oceanside Unified,2015,21008,,628250,Unified,110376.0,58.0,7.2,85641.0,69.0,7.2
632,Oceanside Unified,2016,20614,-1.875476009139376,628250,Unified,112434.0,56.5,5.2,86482.0,68.3,4.9
633,Oceanside Unified,2017,20443,-0.8295333268652372,628250,Unified,115947.0,56.7,6.7,86172.0,67.4,7.1
634,Oceanside Unified,2018,19737,-3.4535048671917035,628250,Unified,110503.0,60.2,6.6,84480.0,71.5,5.9
635,Oceanside Unified,2019,19358,-1.9202513046562293,628250,Unified,107834.0,58.7,5.7,82799.0,69.2,5.3
636,Ontario-Montclair,2015,21919,,628470,Elementary,129456.0,61.1,6.8,104639.0,71.7,6.3
637,Ontario-Montclair,2016,21629,-1.3230530589899174,628470,Elementary,133468.0,58.0,10.1,108055.0,67.4,9.3
638,Ontario-Montclair,2017,21043,-2.709325442692681,628470,Elementary,140699.0,58.8,7.4,110245.0,70.2,6.8
639,Ontario-Montclair,2018,20541,-2.385591408069192,628470,Elementary,143249.0,63.3,6.1,113697.0,74.4,5.5
640,Ontario-Montclair,2019,20088,-2.205345406747481,628470,Elementary,141394.0,62.2,5.1,114053.0,72.8,4.8
641,Orange Unified,2015,28854,,628650,Unified,178990.0,61.4,6.6,137376.0,73.1,6.1
642,Orange Unified,2016,28474,-1.3169751161017536,628650,Unified,180915.0,63.6,4.9,137228.0,75.0,4.7
643,Orange Unified,2017,27875,-2.103673526726136,628650,Unified,181879.0,63.4,2.8,140268.0,75.4,2.7
644,Orange Unified,2018,27437,-1.571300448430493,628650,Unified,184296.0,62.1,3.8,140898.0,74.5,3.1
645,Orange Unified,2019,27193,-0.889310055764114,628650,Unified,181747.0,62.8,3.2,135170.0,76.3,3.0
646,Pajaro Valley Unified,2015,20354,,629490,Unified,88015.0,57.1,7.0,67267.0,68.0,6.8
647,Pajaro Valley Unified,2016,20400,0.2259998034784317,629490,Unified,96071.0,62.0,6.6,73179.0,74.1,5.8
648,Pajaro Valley Unified,2017,20279,-0.5931372549019608,629490,Unified,86879.0,60.6,6.9,64422.0,73.7,7.3
649,Pajaro Valley Unified,2018,20096,-0.9024113615069776,629490,Unified,88470.0,59.5,10.6,65635.0,71.4,10.1
650,Pajaro Valley Unified,2019,19751,-1.7167595541401277,629490,Unified,88116.0,61.4,5.4,62620.0,76.0,5.5
651,Palm Springs Unified,2015,23346,,629550,Unified,140854.0,47.1,9.2,94372.0,62.3,8.4
652,Palm Springs Unified,2016,23079,-1.1436648676432797,629550,Unified,141103.0,49.1,8.5,91385.0,66.9,8.6
653,Palm Springs Unified,2017,23097,0.0779929806317431,629550,Unified,142411.0,47.5,7.7,92873.0,63.2,8.0
654,Palm Springs Unified,2018,22686,-1.7794518768671257,629550,Unified,149537.0,48.4,6.4,99166.0,65.1,5.9
655,Palm Springs Unified,2019,22433,-1.115225249052279,629550,Unified,147306.0,49.7,6.2,95442.0,68.0,5.6
656,Palmdale Elementary,2015,22006,,629580,Elementary,97970.0,50.0,11.8,77561.0,60.7,10.4
657,Palmdale Elementary,2016,22412,1.84495137689721,629580,Elementary,95250.0,51.1,9.3,74986.0,61.4,8.5
658,Palmdale Elementary,2017,22777,1.6285918258076029,629580,Elementary,97533.0,52.0,8.2,76230.0,63.0,8.2
659,Palmdale Elementary,2018,22465,-1.3698028713175572,629580,Elementary,96833.0,55.1,7.5,73295.0,68.2,6.6
660,Palmdale Elementary,2019,22166,-1.3309592699755175,629580,Elementary,96878.0,56.7,8.3,78286.0,66.3,8.3
661,Palo Alto Unified,2015,12450,,629610,Unified,70824.0,56.4,3.1,49475.0,73.3,2.5
662,Palo Alto Unified,2016,12245,-1.6465863453815262,629610,Unified,71982.0,54.8,4.4,48024.0,71.3,4.0
663,Palo Alto Unified,2017,12221,-0.1959983666802776,629610,Unified,69606.0,58.8,4.1,48707.0,74.1,4.0
664,Palo Alto Unified,2018,11949,-2.225677113165862,629610,Unified,72010.0,56.4,3.9,49874.0,71.5,3.6
665,Palo Alto Unified,2019,11703,-2.0587496861662067,629610,Unified,70348.0,57.9,1.9,48055.0,72.8,1.5
666,Paramount Unified,2015,15491,,629850,Unified,60044.0,61.4,5.6,47621.0,73.3,4.6
667,Paramount Unified,2016,15367,-0.8004647860047769,629850,Unified,58794.0,59.9,6.9,46193.0,72.3,5.5
668,Paramount Unified,2017,15172,-1.2689529511290427,629850,Unified,59748.0,59.4,5.6,48201.0,70.7,4.9
669,Paramount Unified,2018,14837,-2.2080147640390195,629850,Unified,59163.0,63.6,7.0,48197.0,74.3,5.5
670,Paramount Unified,2019,14291,-3.679989216148817,629850,Unified,59830.0,60.3,5.0,47665.0,70.3,4.4
671,Pasadena Unified,2015,18377,,629940,Unified,176499.0,63.2,6.3,133429.0,76.6,5.9
672,Pasadena Unified,2016,18300,-0.419002013386298,629940,Unified,176299.0,61.1,4.7,133896.0,74.3,4.5
673,Pasadena Unified,2017,18062,-1.3005464480874318,629940,Unified,178257.0,62.5,4.2,135407.0,76.4,4.2
674,Pasadena Unified,2018,17588,-2.624294098106522,629940,Unified,167020.0,62.3,3.3,124157.0,76.1,3.3
675,Pasadena Unified,2019,17266,-1.8307937229929496,629940,Unified,175063.0,63.8,3.6,133400.0,77.1,3.2
676,Perris Union High,2015,10717,,630210,Secondary,133788.0,51.1,10.4,100712.0,63.5,10.1
677,Placentia-Yorba Linda Unified,2015,25812,,630660,Unified,136253.0,64.5,5.0,104677.0,78.1,4.8
678,Placentia-Yorba Linda Unified,2016,25783,-0.1123508445684178,630660,Unified,127616.0,63.4,4.7,94078.0,77.4,4.7
679,Placentia-Yorba Linda Unified,2017,25725,-0.2249544273358414,630660,Unified,137438.0,65.2,3.9,105041.0,78.4,3.2
680,Placentia-Yorba Linda Unified,2018,25459,-1.034013605442177,630660,Unified,129581.0,63.3,3.8,95286.0,78.0,3.5
681,Placentia-Yorba Linda Unified,2019,25145,-1.2333555913429437,630660,Unified,131686.0,64.9,3.4,98726.0,79.8,3.2
682,Placer Union High,2015,4101,,630750,Secondary,72851.0,51.9,7.6,50043.0,68.2,6.8
683,Placer Union High,2016,4069,-0.7802974884174592,630750,Secondary,79028.0,54.6,5.0,54876.0,70.8,5.1
684,Placer Union High,2017,4032,-0.9093143278446794,630750,Secondary,79894.0,52.7,4.9,53397.0,70.7,3.8
685,Placer Union High,2018,3998,-0.8432539682539683,630750,Secondary,74234.0,49.0,3.5,46503.0,68.7,3.3
686,Placer Union High,2019,3988,-0.2501250625312656,630750,Secondary,79908.0,59.1,1.8,54681.0,75.7,1.6
687,Pomona Unified,2015,24654,,631320,Unified,133502.0,55.2,10.1,102256.0,67.2,8.8
688,Pomona Unified,2016,24260,-1.5981179524620752,631320,Unified,131721.0,61.2,8.3,104562.0,71.6,7.3
689,Pomona Unified,2017,23673,-2.41962077493817,631320,Unified,135423.0,58.3,5.9,103628.0,71.2,5.0
690,Pomona Unified,2018,23117,-2.3486672580577026,631320,Unified,132176.0,59.2,6.1,100595.0,72.1,5.0
691,Pomona Unified,2019,22632,-2.098023099883203,631320,Unified,135758.0,60.2,4.8,100226.0,74.8,3.7
692,Poway Unified,2015,35698,,631530,Unified,149201.0,61.8,4.4,111825.0,77.0,3.9
693,Poway Unified,2016,35885,0.5238388705249594,631530,Unified,156916.0,62.2,5.2,119512.0,76.0,5.0
694,Poway Unified,2017,36433,1.5271004598021458,631530,Unified,167116.0,64.1,4.9,126145.0,78.5,4.2
695,Poway Unified,2018,36361,-0.1976230340625257,631530,Unified,159226.0,60.5,4.3,119595.0,74.4,3.9
696,Poway Unified,2019,36497,0.37402711696598,631530,Unified,158642.0,64.0,6.1,120511.0,77.1,5.8
697,Redlands Unified,2015,21068,,632070,Unified,100468.0,55.2,6.7,74977.0,68.3,6.5
698,Redlands Unified,2016,21181,0.5363584583254225,632070,Unified,103943.0,54.1,6.5,77200.0,65.6,6.4
699,Redlands Unified,2017,21083,-0.4626788159199282,632070,Unified,103940.0,56.1,4.8,77803.0,69.7,4.6
700,Redlands Unified,2018,21052,-0.1470378978323768,632070,Unified,106110.0,60.1,5.8,78670.0,73.4,5.4
701,Redlands Unified,2019,20841,-1.002280068402052,632070,Unified,103753.0,56.9,6.0,73833.0,73.7,5.2
702,Redwood City Elementary,2015,9085,,632130,Elementary,78634.0,64.3,4.1,61606.0,76.1,4.2
703,Redwood City Elementary,2016,8964,-1.3318657127132636,632130,Elementary,85170.0,68.8,2.4,69133.0,79.0,2.0
704,Redwood City Elementary,2017,8789,-1.9522534582775548,632130,Elementary,85891.0,69.9,1.9,67599.0,81.6,1.6
705,Redwood City Elementary,2018,8712,-0.8760951188986232,632130,Elementary,86791.0,69.1,3.6,67143.0,79.6,3.5
706,Redwood City Elementary,2019,8492,-2.525252525252525,632130,Elementary,80657.0,68.0,2.6,62456.0,81.3,2.7
707,Rialto Unified,2015,25965,,632370,Unified,94560.0,55.9,10.3,73722.0,66.6,9.9
708,Rialto Unified,2016,25662,-1.1669555170421722,632370,Unified,91027.0,56.3,10.9,70429.0,67.9,10.0
709,Rialto Unified,2017,25454,-0.8105369807497468,632370,Unified,89999.0,58.4,10.6,72637.0,68.7,9.4
710,Rialto Unified,2018,25045,-1.6068201461459888,632370,Unified,96628.0,55.7,10.9,74008.0,67.7,10.2
