,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
152,Panama-Buena Vista Union,2015,17545,,606390,Elementary,94502.0,61.2,8.9,74443.0,70.5,8.8
153,Panama-Buena Vista Union,2016,17898,2.01196922200057,606390,Elementary,93404.0,60.2,7.0,73507.0,71.7,7.2
154,Panama-Buena Vista Union,2017,18248,1.9555257570678288,606390,Elementary,103262.0,58.4,6.5,79741.0,71.3,6.3
155,Panama-Buena Vista Union,2018,18621,2.0440596229723806,606390,Elementary,102582.0,59.0,6.6,78493.0,71.4,6.0
156,Panama-Buena Vista Union,2019,18714,0.4994361205091026,606390,Elementary,99085.0,58.7,6.1,76830.0,70.9,5.3
157,Burbank Unified,2015,16050,,606450,Unified,84504.0,62.0,6.4,64964.0,74.5,6.7
158,Burbank Unified,2016,16072,0.1370716510903427,606450,Unified,87626.0,58.4,7.3,63485.0,74.4,6.3
159,Burbank Unified,2017,15133,-5.84245893479343,606450,Unified,86929.0,66.3,6.3,68227.0,79.2,6.5
160,Burbank Unified,2018,15159,0.171809951761052,606450,Unified,87301.0,60.4,3.5,67592.0,73.0,3.7
161,Burbank Unified,2019,15139,-0.1319348241968467,606450,Unified,86657.0,61.9,6.3,64444.0,76.3,6.0
162,Cajon Valley Union,2015,16627,,606810,Elementary,136933.0,55.6,9.9,106100.0,67.5,9.0
163,Cajon Valley Union,2016,16906,1.6779936248270886,606810,Elementary,135574.0,55.8,8.8,103385.0,67.0,8.8
164,Cajon Valley Union,2017,17352,2.6381166449781146,606810,Elementary,133016.0,61.1,5.8,102113.0,73.0,5.5
165,Cajon Valley Union,2018,17445,0.5359612724757953,606810,Elementary,131438.0,58.2,5.3,99951.0,71.2,5.0
166,Cajon Valley Union,2019,17329,-0.6649469762109488,606810,Elementary,140589.0,58.8,6.4,104676.0,72.9,5.3
167,Campbell Union,2015,7595,,607200,Elementary,79062.0,67.8,3.7,63092.0,79.8,3.7
168,Campbell Union,2016,7460,-1.7774851876234363,607200,Elementary,84547.0,65.5,3.8,67719.0,78.0,3.9
169,Campbell Union,2017,7293,-2.2386058981233243,607200,Elementary,78809.0,69.0,2.4,63162.0,80.4,2.1
170,Campbell Union,2018,7263,-0.4113533525298231,607200,Elementary,76267.0,67.0,3.0,59668.0,80.4,2.9
171,Campbell Union,2019,6964,-4.116756161365827,607200,Elementary,76846.0,67.9,2.5,61827.0,80.5,2.4
