,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
19,20,59646,13474,14494,-999999999,-999999999,-999999999,25810,-999999999,34819,-999999999,48316,61.2,50.7,60.3,-999999999.0,-999999999.0,-999999999,66.4,-999999999.0,62.9,-999999999.0,72.6,8.0,5.2,11.3,-999999999.0,-999999999.0,-999999999,8.6,-999999999.0,7.8,-999999999.0,7.4,6,,616680,2015,16680.0,
20,21,73183,59602,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52548,54652,64.2,63.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,63.0,76.9,5.8,6.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,7.0,5.3,6,,618030,2015,18030.0,
21,22,82337,18105,-999999999,-999999999,47723,-999999999,-999999999,-999999999,17706,11954,66222,64.3,60.9,-999999999.0,-999999999.0,65.9,-999999999,-999999999.0,-999999999.0,66.1,61.0,74.7,7.8,12.0,-999999999.0,-999999999.0,5.4,-999999999,-999999999.0,-999999999.0,9.0,9.3,8.0,6,,618870,2015,18870.0,
22,23,114460,82056,7987,-999999999,-999999999,-999999999,-999999999,-999999999,36743,54635,87755,57.8,57.9,58.4,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,63.1,54.9,70.8,9.2,6.2,21.3,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8.5,5.8,8.6,6,,620250,2015,20250.0,
23,24,83943,54842,16567,-999999999,-999999999,-999999999,5020,-999999999,30332,30756,66688,48.0,48.9,38.3,-999999999.0,-999999999.0,-999999999,56.5,-999999999.0,50.1,48.9,56.8,6.6,4.8,12.3,-999999999.0,-999999999.0,-999999999,11.4,-999999999.0,6.5,4.8,6.3,6,,620880,2015,20880.0,
24,25,50077,30389,-999999999,-999999999,12877,-999999999,-999999999,-999999999,23975,10258,39482,62.9,63.3,-999999999.0,-999999999.0,61.5,-999999999,-999999999.0,-999999999.0,65.1,58.8,76.1,3.4,3.6,-999999999.0,-999999999.0,3.1,-999999999,-999999999.0,-999999999.0,3.7,4.0,3.2,6,,623430,2015,23430.0,
25,26,63752,44757,4244,-999999999,-999999999,-999999999,-999999999,-999999999,16903,34719,45689,50.9,51.4,35.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.7,48.5,66.7,8.3,7.1,12.9,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8.3,7.8,8.4,6,,624540,2015,24540.0,
26,27,65989,33190,-999999999,-999999999,-999999999,-999999999,18836,-999999999,32254,22184,49845,43.1,41.3,-999999999.0,-999999999.0,-999999999.0,-999999999,48.3,-999999999.0,44.9,43.0,54.3,16.9,12.5,-999999999.0,-999999999.0,-999999999.0,-999999999,20.6,-999999999.0,20.5,11.4,13.5,6,,624600,2015,24600.0,
27,28,88555,64444,-999999999,-999999999,-999999999,-999999999,10971,-999999999,41669,35863,68180,47.4,49.0,-999999999.0,-999999999.0,-999999999.0,-999999999,51.2,-999999999.0,52.8,45.1,57.8,17.4,14.6,-999999999.0,-999999999.0,-999999999.0,-999999999,21.1,-999999999.0,15.7,15.2,16.4,6,,625130,2015,25130.0,
28,29,56070,33910,-999999999,-999999999,14638,-999999999,-999999999,-999999999,-999999999,28148,47644,73.9,74.3,-999999999.0,-999999999.0,73.6,-999999999,-999999999.0,-999999999.0,-999999999.0,72.4,82.3,3.4,3.7,-999999999.0,-999999999.0,4.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.1,3.2,6,,626280,2015,26280.0,
29,30,54760,41013,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14655,30128,40767,59.3,59.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.6,59.4,71.9,6.5,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14.0,3.8,5.7,6,,627180,2015,27180.0,
30,31,84558,42450,-999999999,-999999999,27965,-999999999,-999999999,-999999999,21101,30225,67959,63.0,63.5,-999999999.0,-999999999.0,61.4,-999999999,-999999999.0,-999999999.0,67.9,61.7,73.5,5.8,6.0,-999999999.0,-999999999.0,4.8,-999999999,-999999999.0,-999999999.0,4.8,6.5,6.0,6,,627810,2015,27810.0,
31,32,78757,53529,-999999999,-999999999,12389,-999999999,-999999999,-999999999,-999999999,43974,58620,62.5,61.4,-999999999.0,-999999999.0,61.4,-999999999,-999999999.0,-999999999.0,-999999999.0,61.1,77.2,4.4,4.3,-999999999.0,-999999999.0,4.8,-999999999,-999999999.0,-999999999.0,-999999999.0,4.3,4.0,6,,628140,2015,28140.0,
32,33,129456,52916,-999999999,-999999999,9394,-999999999,55290,-999999999,91550,21136,104639,61.1,57.4,-999999999.0,-999999999.0,52.4,-999999999,66.1,-999999999.0,64.1,51.5,71.7,6.8,7.0,-999999999.0,-999999999.0,6.7,-999999999,6.1,-999999999.0,6.6,6.2,6.3,6,,628470,2015,28470.0,
33,34,92169,71697,-999999999,-999999999,-999999999,-999999999,6532,-999999999,64206,16648,71365,58.7,58.2,-999999999.0,-999999999.0,-999999999.0,-999999999,57.1,-999999999.0,60.9,47.2,70.6,7.9,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999,13.2,-999999999.0,9.0,3.9,7.8,6,,629220,2015,29220.0,
34,35,97970,42558,14505,-999999999,-999999999,-999999999,30345,-999999999,55081,19980,77561,50.0,48.7,39.9,-999999999.0,-999999999.0,-999999999,55.1,-999999999.0,53.7,46.9,60.7,11.8,11.0,25.5,-999999999.0,-999999999.0,-999999999,8.3,-999999999.0,8.9,11.3,10.4,6,,629580,2015,29580.0,
35,36,63502,53388,-999999999,-999999999,5335,-999999999,-999999999,-999999999,13144,42781,43376,54.6,56.1,-999999999.0,-999999999.0,46.4,-999999999,-999999999.0,-999999999.0,60.0,54.7,71.5,5.7,4.4,-999999999.0,-999999999.0,9.5,-999999999,-999999999.0,-999999999.0,6.8,4.9,5.1,6,,630990,2015,30990.0,
36,37,78634,50671,-999999999,-999999999,7944,-999999999,-999999999,-999999999,27345,39884,61606,64.3,64.4,-999999999.0,-999999999.0,63.2,-999999999,-999999999.0,-999999999.0,66.7,64.0,76.1,4.1,3.1,-999999999.0,-999999999.0,6.4,-999999999,-999999999.0,-999999999.0,4.2,2.8,4.2,6,,632130,2015,32130.0,
37,38,73836,53303,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12329,45630,55690,58.5,56.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,57.7,57.2,73.2,5.9,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9.0,5.0,5.9,6,,633600,2015,33600.0,
38,39,61449,35131,-999999999,-999999999,-999999999,-999999999,18426,-999999999,40717,14197,47089,56.4,55.3,-999999999.0,-999999999.0,-999999999.0,-999999999,65.2,-999999999.0,61.9,47.9,69.0,8.2,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999,8.0,-999999999.0,7.1,6.4,7.1,6,,633930,2015,33930.0,
39,40,110570,60447,-999999999,-999999999,34409,-999999999,-999999999,-999999999,19194,49407,84836,66.6,66.2,-999999999.0,-999999999.0,66.1,-999999999,-999999999.0,-999999999.0,70.0,65.3,80.4,3.9,3.2,-999999999.0,-999999999.0,4.4,-999999999,-999999999.0,-999999999.0,5.0,2.8,3.8,6,,634920,2015,34920.0,
40,41,59554,45358,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36859,42245,52.6,55.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,55.0,65.0,7.0,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,6.5,4.9,6,,635590,2015,35590.0,
41,42,64062,46917,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35490,49729,63.3,61.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,59.5,74.2,7.5,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.1,6.2,6,,635810,2015,35810.0,
42,43,85220,62468,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21149,46073,67333,66.9,67.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,67.9,67.0,79.3,5.2,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,5.0,5.1,4.5,6,,635970,2015,35970.0,
43,44,68743,51827,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44891,12616,53468,53.8,54.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,57.0,50.2,63.7,11.3,10.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10.7,10.3,11.1,6,,637380,2015,37380.0,
44,45,51930,35999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17626,24453,41064,66.6,66.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,66.5,65.6,79.9,7.0,7.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8.5,7.2,6.9,6,,638220,2015,38220.0,
45,46,73639,31858,-999999999,-999999999,31669,-999999999,-999999999,-999999999,14234,24215,60969,69.3,69.8,-999999999.0,-999999999.0,67.4,-999999999,-999999999.0,-999999999.0,78.6,67.2,79.7,4.9,3.5,-999999999.0,-999999999.0,5.6,-999999999,-999999999.0,-999999999.0,2.1,4.0,4.9,6,,638460,2015,38460.0,
46,47,57252,46005,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17307,30887,43733,58.4,58.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.4,57.7,69.7,7.8,8.9,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12.1,6.8,7.7,6,,638670,2015,38670.0,
47,48,73021,55487,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33516,27160,54985,44.4,45.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,45.3,44.1,55.4,19.6,19.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21.4,15.9,17.0,6,,641040,2015,41040.0,
48,49,59551,41378,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33159,46517,51.0,53.9,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,56.7,61.0,8.4,6.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,5.6,7.2,6,,642120,2015,42120.0,
49,50,68232,28444,-999999999,-999999999,27501,-999999999,-999999999,-999999999,-999999999,21409,50347,58.4,64.7,-999999999.0,-999999999.0,53.2,-999999999,-999999999.0,-999999999.0,-999999999.0,60.8,73.9,5.6,5.0,-999999999.0,-999999999.0,6.7,-999999999,-999999999.0,-999999999.0,-999999999.0,5.5,5.3,6,,642150,2015,42150.0,
50,51,56985,26705,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43281,9983,43769,60.6,59.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,62.2,54.9,74.4,5.1,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,5.1,5.4,4.8,6,,642450,2015,42450.0,
0,1,94601,75262,-999999999,-999999999,13761,-999999999,-999999999,-999999999,-999999999,71216,60947,55.6,54.4,-999999999.0,-999999999.0,56.7,-999999999,-999999999.0,-999999999.0,-999999999.0,54.4,74.3,5.7,5.6,-999999999.0,-999999999.0,6.8,-999999999,-999999999.0,-999999999.0,-999999999.0,5.5,5.9,6,,601650,2015,,1650.0
1,2,318548,208316,-999999999,-999999999,66790,-999999999,25482,-999999999,157985,78779,249796,62.2,62.0,-999999999.0,-999999999.0,60.5,-999999999,68.6,-999999999.0,65.8,56.5,75.1,6.1,6.4,-999999999.0,-999999999.0,4.6,-999999999,7.5,-999999999.0,7.3,4.4,5.7,6,,602630,2015,,2630.0
2,3,282958,165695,44278,-999999999,15562,-999999999,46205,9122,115611,101002,221396,48.7,49.4,40.1,-999999999.0,52.2,-999999999,52.6,48.2,50.9,49.6,58.9,9.4,7.4,18.3,-999999999.0,5.8,-999999999,10.3,7.7,8.6,7.2,8.5,6,,602820,2015,,2820.0
3,4,93495,69143,-999999999,-999999999,10558,-999999999,-999999999,-999999999,20789,57522,62669,54.5,55.6,-999999999.0,-999999999.0,44.6,-999999999,-999999999.0,-999999999.0,61.0,54.0,67.0,5.6,4.4,-999999999.0,-999999999.0,13.0,-999999999,-999999999.0,-999999999.0,3.8,4.5,4.8,6,,606019,2015,,6019.0
4,5,181836,115121,-999999999,-999999999,42758,-999999999,-999999999,-999999999,34027,94518,143439,66.1,66.8,-999999999.0,-999999999.0,62.5,-999999999,-999999999.0,-999999999.0,74.1,65.1,78.1,4.5,4.2,-999999999.0,-999999999.0,4.7,-999999999,-999999999.0,-999999999.0,3.5,4.2,4.4,6,,607230,2015,,7230.0
5,6,128810,40711,18343,-999999999,13552,-999999999,51774,-999999999,79042,15393,104873,62.5,56.1,61.2,-999999999.0,65.9,-999999999,67.6,-999999999.0,64.2,55.3,72.7,6.6,6.1,9.5,-999999999.0,2.8,-999999999,7.1,-999999999.0,6.9,5.2,6.0,6,,607920,2015,,7920.0
6,7,312044,156113,30083,-999999999,33785,-999999999,74272,13010,158216,83872,251964,62.4,62.3,63.1,-999999999.0,56.4,-999999999,66.2,55.8,64.0,61.9,73.2,7.0,6.7,10.2,-999999999.0,3.0,-999999999,6.4,11.1,7.3,6.4,6.5,6,,608160,2015,,8160.0
7,8,51275,36225,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40286,-999999999,40024,47.9,48.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,51.6,-999999999.0,58.2,14.7,15.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,15.5,-999999999.0,14.6,6,,610860,2015,,10860.0
8,9,438275,132285,10545,-999999999,195706,-999999999,82983,13206,147702,74975,343685,61.4,60.6,53.4,-999999999.0,61.7,-999999999,65.6,49.3,63.8,58.6,73.6,6.9,6.1,9.6,-999999999.0,6.4,-999999999,7.6,15.9,7.8,5.0,6.4,6,,611820,2015,,11820.0
9,10,120392,107346,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,99046,84541,52.9,52.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,52.1,68.0,8.5,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,8.5,8.0,6,,612070,2015,,12070.0
10,11,144380,65363,-999999999,-999999999,54891,-999999999,21399,-999999999,79311,8886,109561,53.3,52.7,-999999999.0,-999999999.0,53.7,-999999999,55.3,-999999999.0,54.4,41.7,67.3,5.3,4.7,-999999999.0,-999999999.0,5.2,-999999999,7.6,-999999999.0,5.1,11.1,5.2,6,,612120,2015,,12120.0
11,12,136058,105794,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52528,64266,105037,60.0,59.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,67.4,54.6,72.4,7.7,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,7.4,7.7,7.2,6,,612910,2015,,12910.0
12,13,69577,53187,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18471,42246,50780,40.5,41.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,51.8,38.3,48.2,4.7,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,1.2,3.2,4.5,6,,613530,2015,,13530.0
13,14,187026,71862,-999999999,-999999999,97530,-999999999,-999999999,-999999999,19843,61635,148240,63.8,63.0,-999999999.0,-999999999.0,63.9,-999999999,-999999999.0,-999999999.0,72.4,61.1,76.8,5.2,4.8,-999999999.0,-999999999.0,4.5,-999999999,-999999999.0,-999999999.0,4.6,5.3,5.2,6,,614430,2015,,14430.0
14,15,203427,120802,-999999999,-999999999,44032,-999999999,27366,-999999999,83219,68354,154974,58.0,57.7,-999999999.0,-999999999.0,57.4,-999999999,62.1,-999999999.0,63.3,53.1,71.1,8.8,7.7,-999999999.0,-999999999.0,5.1,-999999999,17.0,-999999999.0,12.4,5.5,7.7,6,,614760,2015,,14760.0
15,16,383983,298399,18657,-999999999,21062,-999999999,25184,16377,101594,226521,293754,57.7,57.3,61.1,-999999999.0,58.1,-999999999,62.9,53.0,62.3,56.1,70.6,8.4,7.1,14.4,-999999999.0,6.9,-999999999,10.7,20.5,8.8,6.7,7.6,6,,616230,2015,,16230.0
16,17,52819,38736,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23282,21946,39334,53.8,55.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,55.5,55.9,66.0,9.4,8.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14.1,3.1,9.2,6,,616500,2015,,16500.0
17,18,266490,172614,-999999999,-999999999,56299,-999999999,21525,-999999999,51026,146118,197930,61.5,62.2,-999999999.0,-999999999.0,57.5,-999999999,66.2,-999999999.0,66.3,61.3,75.8,5.1,5.2,-999999999.0,-999999999.0,5.2,-999999999,3.1,-999999999.0,3.6,5.5,4.8,6,,618060,2015,,18060.0
18,19,131453,44599,4588,-999999999,63280,-999999999,-999999999,-999999999,27765,32529,102078,63.5,61.1,45.7,-999999999.0,65.4,-999999999,-999999999.0,-999999999.0,63.1,61.2,75.4,6.7,8.4,24.8,-999999999.0,4.6,-999999999,-999999999.0,-999999999.0,7.8,7.5,7.0,6,,618930,2015,,18930.0
19,20,467419,364454,24019,-999999999,23345,-999999999,39303,11145,233080,179906,365741,55.7,55.9,53.2,-999999999.0,59.5,-999999999,54.4,52.5,58.1,52.7,66.3,11.0,10.4,13.0,-999999999.0,5.3,-999999999,17.1,14.4,12.7,8.8,10.5,6,,619540,2015,,19540.0
20,21,88266,55376,-999999999,-999999999,23887,-999999999,-999999999,-999999999,-999999999,48668,71793,69.8,69.7,-999999999.0,-999999999.0,69.6,-999999999,-999999999.0,-999999999.0,-999999999.0,67.9,80.6,3.1,3.1,-999999999.0,-999999999.0,4.0,-999999999,-999999999.0,-999999999.0,-999999999.0,3.4,3.0,6,,626310,2015,,26310.0
21,22,90355,61593,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19291,53009,66745,57.0,57.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,55.2,58.5,71.7,7.4,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16.0,4.3,7.4,6,,621600,2015,,21600.0
22,23,130199,66508,-999999999,-999999999,13732,-999999999,37935,4447,64982,42915,97556,46.9,46.9,-999999999.0,-999999999.0,39.0,-999999999,50.5,35.3,49.6,45.5,58.4,13.5,9.2,-999999999.0,-999999999.0,17.1,-999999999,17.2,38.5,15.9,9.2,11.1,6,,624660,2015,,24660.0
23,24,208975,158710,-999999999,-999999999,14937,-999999999,18432,6405,82613,97416,158011,51.8,51.7,-999999999.0,-999999999.0,57.1,-999999999,52.2,45.0,55.3,48.8,63.2,12.7,11.9,-999999999.0,-999999999.0,9.4,-999999999,18.2,23.3,13.5,11.6,12.2,6,,625150,2015,,25150.0
24,25,73806,68814,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64830,47150,45.6,44.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,43.7,62.5,9.0,9.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,8.1,8.0,6,,626880,2015,,26880.0
25,26,251602,196559,6625,-999999999,21289,-999999999,15606,-999999999,135695,82735,191199,58.2,58.8,66.7,-999999999.0,52.9,-999999999,58.6,-999999999.0,62.9,51.9,70.8,7.3,6.5,6.5,-999999999.0,9.0,-999999999,13.2,-999999999.0,7.8,6.4,6.9,6,,629270,2015,,29270.0
26,27,133788,77870,8617,-999999999,-999999999,-999999999,34619,-999999999,62823,50723,100712,51.1,49.8,47.1,-999999999.0,-999999999.0,-999999999,55.6,-999999999.0,54.0,48.8,63.5,10.4,8.4,9.0,-999999999.0,-999999999.0,-999999999,13.6,-999999999.0,11.9,8.3,10.1,6,,630210,2015,,30210.0
27,28,63518,52904,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48874,45540,61.1,61.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,61.0,74.4,5.8,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,5.3,5.5,6,,630250,2015,,30250.0
28,29,72851,66111,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63707,50043,51.9,51.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,50.5,68.2,7.6,8.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,8.4,6.8,6,,630750,2015,,30750.0
29,30,144527,112215,-999999999,-999999999,14581,-999999999,-999999999,-999999999,20454,99954,106930,57.8,56.5,-999999999.0,-999999999.0,62.0,-999999999,-999999999.0,-999999999.0,57.8,56.6,73.7,5.9,6.0,-999999999.0,-999999999.0,6.2,-999999999,-999999999.0,-999999999.0,8.0,5.6,5.5,6,,633630,2015,,33630.0
30,31,129558,77914,-999999999,-999999999,-999999999,-999999999,36645,-999999999,86321,31033,101723,59.2,57.8,-999999999.0,-999999999.0,-999999999.0,-999999999,65.3,-999999999.0,63.0,52.5,70.3,6.5,5.8,-999999999.0,-999999999.0,-999999999.0,-999999999,6.5,-999999999.0,6.2,5.5,5.7,6,,633980,2015,,33980.0
31,32,146514,123723,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,114267,106652,59.5,60.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,59.8,73.8,4.7,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.4,3.8,6,,634380,2015,,34380.0
32,33,193896,106311,-999999999,-999999999,60767,-999999999,-999999999,-999999999,32931,87207,147750,65.7,64.5,-999999999.0,-999999999.0,67.3,-999999999,-999999999.0,-999999999.0,70.6,63.1,79.9,4.6,3.5,-999999999.0,-999999999.0,4.5,-999999999,-999999999.0,-999999999.0,5.3,3.2,4.0,6,,634980,2015,,34980.0
33,34,61727,42251,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37219,46043,60.5,63.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,62.3,73.1,2.9,3.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,2.2,3.2,6,,635110,2015,,35110.0
34,35,86454,67757,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18393,55238,62885,56.0,57.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,63.5,56.1,68.2,6.3,5.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.7,6.0,4.9,6,,635600,2015,,35600.0
35,36,110534,92682,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67860,34411,84856,63.1,63.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,69.1,51.8,75.1,6.8,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.3,8.2,6.7,6,,635670,2015,,35670.0
36,37,172562,131120,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44896,108015,129357,61.2,59.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,69.8,58.5,74.1,6.0,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8.4,4.3,5.1,6,,635830,2015,,35830.0
37,38,203149,132375,5698,-999999999,27982,-999999999,29816,-999999999,52508,111024,154994,64.1,62.9,61.9,-999999999.0,67.7,-999999999,69.2,-999999999.0,67.1,62.5,76.7,4.4,4.1,10.2,-999999999.0,4.3,-999999999,3.0,-999999999.0,4.0,3.9,4.4,6,,636390,2015,,36390.0
