,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
31,9600000US0633980,128304,48620,-999999999,-999999999,7571,-999999999,66102,-999999999,90448,27004,99927,60.6,58.9,-999999999.0,-999999999.0,64.5,-999999999.0,61.2,-999999999.0,62.8,51.5,72.5,4.6,5.0,-999999999.0,-999999999.0,3.5,-999999999.0,4.1,-999999999.0,4.8,4.5,4.6,"Salinas Union High School District, California",06,33980,Salinas Union High School District,0633980,2017
32,9600000US0634380,138888,109602,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,99832,101765,62.6,60.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.3,77.9,3.8,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,3.4,"San Dieguito Union High School District, California",06,34380,San Dieguito Union High School District,0634380,2017
33,9600000US0634980,196584,103352,-999999999,-999999999,60530,-999999999,-999999999,-999999999,36786,86575,145990,65.2,61.7,-999999999.0,-999999999.0,67.4,-999999999.0,-999999999.0,-999999999.0,67.7,61.5,80.3,4.1,4.0,-999999999.0,-999999999.0,3.2,-999999999.0,-999999999.0,-999999999.0,6.8,3.5,4.0,"San Mateo Union High School District, California",06,34980,San Mateo Union High School District,0634980,2017
34,9600000US0635110,62219,44748,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40808,42630,59.0,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.7,74.7,3.0,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.4,2.6,"San Rafael City High School District, California",06,35110,San Rafael City High School District,0635110,2017
35,9600000US0635600,87243,66421,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,56290,61931,57.6,58.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.4,69.5,8.7,8.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.3,8.3,"Santa Cruz City High School District, California",06,35600,Santa Cruz City High School District,0635600,2017
36,9600000US0635670,113804,91894,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,71200,31496,88217,62.1,62.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.5,59.5,73.6,5.1,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.7,3.5,4.8,"Santa Maria Joint Union High School District, California",06,35670,Santa Maria Joint Union High School District,0635670,2017
37,9600000US0635830,173354,119035,-999999999,-999999999,9176,-999999999,-999999999,-999999999,49154,102283,124465,60.7,55.9,-999999999.0,-999999999.0,70.5,-999999999.0,-999999999.0,-999999999.0,70.4,54.2,74.6,4.2,4.7,-999999999.0,-999999999.0,1.1,-999999999.0,-999999999.0,-999999999.0,3.5,4.8,4.1,"Santa Rosa High School District, California",06,35830,Santa Rosa High School District,0635830,2017
38,9600000US0636390,211668,131261,6526,-999999999,33088,-999999999,26716,-999999999,53176,107554,163709,67.5,65.5,66.9,-999999999.0,72.0,-999999999.0,72.3,-999999999.0,69.6,65.0,79.3,3.4,3.5,12.0,-999999999.0,2.7,-999999999.0,1.9,-999999999.0,3.1,3.5,3.2,"Sequoia Union High School District, California",06,36390,Sequoia Union High School District,0636390,2017
39,9600000US0636600,83709,73472,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67475,58414,54.2,54.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.7,68.2,3.5,3.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.9,3.0,"Shasta Union High School District, California",06,36600,Shasta Union High School District,0636600,2017
40,9600000US0636972,117728,79405,15386,-999999999,-999999999,-999999999,-999999999,-999999999,62791,31739,90104,47.1,49.7,43.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,47.6,50.8,58.7,13.2,11.3,15.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,16.1,2.6,11.7,"Victor Valley Union High School District, California",06,36972,Victor Valley Union High School District,0636972,2017
